,Unnamed: 0_x,PMID,abstract,Unnamed: 0_y,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,0,34610024,"Suboptimal diets are a leading risk factor for death and disability. Nutrition labelling is a potential method to encourage consumers to improve dietary behaviour. This systematic review and network meta-analysis (NMA) summarises evidence on the impact of colour-coded interpretive labels and warning labels on changing consumers' purchasing behaviour. We conducted a literature review of peer-reviewed articles published between 1 January 1990 and 24 May 2021 in PubMed, Embase via Ovid, Cochrane Central Register of Controlled Trials, and SCOPUS. Randomised controlled trials (RCTs) and quasi-experimental studies were included for the primary outcomes (measures of changes in consumers' purchasing and consuming behaviour). A frequentist NMA method was applied to pool the results. A total of 156 studies (including 101 RCTs and 55 non-RCTs) nested in 138 articles were incorporated into the systematic review, of which 134 studies in 120 articles were eligible for meta-analysis. We found that the traffic light labelling system (TLS), nutrient warning (NW), and health warning (HW) were associated with an increased probability of selecting more healthful products (odds ratios [ORs] and 95% confidence intervals [CIs]: TLS, 1.5 [1.2, 1.87]; NW, 3.61 [2.82, 4.63]; HW, 1.65 [1.32, 2.06]). Nutri-Score (NS) and warning labels appeared effective in reducing consumers' probability of selecting less healthful products (NS, 0.66 [0.53, 0.82]; NW,0.65 [0.54, 0.77]; HW,0.64 [0.53, 0.76]). NS and NW were associated with an increased overall healthfulness (healthfulness ratings of products purchased using models such as FSAm-NPS/HCSP) by 7.9% and 26%, respectively. TLS, NS, and NW were associated with a reduced energy (total energy: TLS, -6.5%; NS, -6%; NW, -12.9%; energy per 100 g/ml: TLS, -3%; NS, -3.5%; NW, -3.8%), sodium (total sodium/salt: TLS, -6.4%; sodium/salt per 100 g/ml: NS: -7.8%), fat (total fat: NS, -15.7%; fat per 100 g/ml: TLS: -2.6%; NS: -3.2%), and total saturated fat (TLS, -12.9%; NS: -17.1%; NW: -16.3%) content of purchases. The impact of TLS, NS, and NW on purchasing behaviour could be explained by improved understanding of the nutrition information, which further elicits negative perception towards unhealthful products or positive attitudes towards healthful foods. Comparisons across label types suggested that colour-coded labels performed better in nudging consumers towards the purchase of more healthful products (NS versus NW: 1.51 [1.08, 2.11]), while warning labels have the advantage in discouraging unhealthful purchasing behaviour (NW versus TLS: 0.81 [0.67, 0.98]; HW versus TLS: 0.8 [0.63, 1]). Study limitations included high heterogeneity and inconsistency in the comparisons across different label types, limited number of real-world studies (95% were laboratory studies), and lack of long-term impact assessments. Our systematic review provided comprehensive evidence for the impact of colour-coded labels and warnings in nudging consumers' purchasing behaviour towards more healthful products and the underlying psychological mechanism of behavioural change. Each type of label had different attributes, which should be taken into consideration when making front-of-package nutrition labelling (FOPL) policies according to local contexts. Our study supported mandatory front-of-pack labelling policies in directing consumers' choice and encouraging the food industry to reformulate their products. PROSPERO (CRD42020161877). ",0,Impact of color-coded and warning nutrition labelling schemes: A systematic review and network meta-analysis,"Song J, Brown MK, Tan M, MacGregor GA, Webster J, Campbell NRC, Trieu K, Ni Mhurchu C, Cobb LK, He FJ.",PLoS Med. 2021 Oct 5;18(10):e1003765. doi: 10.1371/journal.pmed.1003765. eCollection 2021 Oct.,Song J,PLoS Med,2021,2021/10/05,PMC8491916,,10.1371/journal.pmed.1003765
1,1,26404013,"Increasing attention has been recently paid to the toxicity of additives used in food. The European Parliament and the Council published the REGULATION (EC) No. 1333/2008 on food additives establishing that the toxicity of food additives evaluated before 20th January 2009 must be re-evaluated by European Food Safety Authority (EFSA). The aim of this review is to survey current knowledge specifically on the toxicity issues of synthetic food colorants using official reports published by the EFSA and other available studies published since the respective report. Synthetic colorants described are Tartrazine, Quinoline Yellow, Sunset Yellow, Azorubine, Ponceau 4R, Erythrosine, Allura Red, Patent Blue, Indigo Carmine, Brilliant Blue FCF, Green S, Brilliant Black and Brown HT. Moreover, a summary of evidence on possible detrimental effects of colorant mixes on children's behaviour is provided and future research directions are outlined. ",1,Health safety issues of synthetic food colorants,"Amchova P, Kotolova H, Ruda-Kucerova J.",Regul Toxicol Pharmacol. 2015 Dec;73(3):914-22. doi: 10.1016/j.yrtph.2015.09.026. Epub 2015 Sep 25.,Amchova P,Regul Toxicol Pharmacol,2015,2015/09/26,,,10.1016/j.yrtph.2015.09.026
2,2,38423749,"Many additives, some of which have no nutritional value, can be legally used in processed foods. They intensify colour, thicken, increase shelf life and enhance flavour. Regulatory authorities issue approvals as safe within acceptable quantitative limits. Ultra-processed foods (UPFs) contain combinations of all these additives and are particularly attractive to children.Many publications suggest that artificial colourants, benzoate preservatives, non-caloric sweeteners, emulsifiers and their degradation derivatives have adverse effects by increasing risks of mental health disorders, attention deficit hyperactivity disorder, cardiovascular disease, metabolic syndrome and potential carcinogenic effects.A systematic review has established that artificial azo dye food colourants (AFCs) and sodium benzoate preservative cause disturbed behaviour in children. AFCs and benzoates in animal models have neurotoxic properties through gut microbial generation of toxic metabolites. Observational studies show associations between high emulsifier intake and cardiovascular disease. Animal models and in vitro studies have highlighted neurotoxic, cytotoxic, genotoxic and carcinogenic effects. High intake of non-caloric sweeteners has been linked to cardiovascular disease and depression in adults and is linked to childhood obesity.Little research has focused on children who are the largest consumers of UPFs. Potentially, they are a ticking time bomb for adult obesity, metabolic syndrome, cardiovascular diseases, mental health disorders and cancers. Based on risk/benefit analysis, azo dye AFCs should be banned. Benzoates, emulsifiers and sweeteners require assessment of quantitative limits and cumulative effects of combinations. Consumers purchasing UPFs require information through ingredient health warnings and recommendations to use natural unprocessed foods which have well-described health-promoting properties. ",2,Artificial food additives: hazardous to long-term health?,Warner JO.,Arch Dis Child. 2024 Oct 18;109(11):882-885. doi: 10.1136/archdischild-2023-326565.,Warner JO,Arch Dis Child,2024,2024/02/29,,,10.1136/archdischild-2023-326565
3,3,34742660,"The mission of pediatric medical education is to train the workforce who will provide and innovate child healthcare, including addressing healthcare inequities for children and adolescents of color. A diverse physician workforce is associated with more equitable outcomes. Therefore, it is imperative that our workforce continue to reflect the ever-growing diverse nature of our society. While diversity has been at the forefront of conversations for increasing the number of underrepresented communities in medicine, inclusion and equity are oftentimes overlooked. It is crucial to recognize that while diversity is an important aspect to the UIM experience, the overall impact of diversity is diluted when it is not paired with inclusion and equity. Therefore, the purpose of this paper is to illustrate the experiences that shape inclusion and equity for UIM physicians along the training continuum and how negative factors may impact the wellness and career longevity of UIM physicians. Our study explored the experiences of UIM physicians throughout their medical education through the lens of inclusion and equity by exploring three common factors: social support, racism and discrimination, and well-being and burnout. There may be a perception that stressors, including racial discrimination, diminish with progression through one's educational career; however, this review suggests that these stressors manifest differently relative to the trials inherent to each career stage. By exploring the interplay between these factors and the UIM experience as a continuum, we are better able to discuss effective solutions to diversity, equity and inclusion for UIM physicians. ",3,Inclusion and equity: Experiences of underrepresented in medicine physicians throughout the medical education continuum,"Brown Z, Al-Hassan RS, Barber A.",Curr Probl Pediatr Adolesc Health Care. 2021 Oct;51(10):101089. doi: 10.1016/j.cppeds.2021.101089. Epub 2021 Nov 3.,Brown Z,Curr Probl Pediatr Adolesc Health Care,2021,2021/11/07,,,10.1016/j.cppeds.2021.101089
4,4,35364248,"School attendance problems (SAPs) include full-day and partial absences (eg, missing classes, tardiness) as well as difficulties going to or remaining in school. SAPs also include nonparticipation in distance/hybrid learning formats or lack of access to necessary technology or equipment. SAPs are particularly prevalent among students of color, students in poverty, students with disabilities, English language learners, and migrant populations. SAPs are often part of a complicated clinical picture of mental health (eg, emotional, neurodevelopmental, conduct disorders) and somatic (eg, abdominal, cardiovascular, respiratory problems) challenges. These challenges are exacerbated by disparities in socioeconomic status, childhood adversities, family structure, and neighborhood-level factors that have an impact on mental health outcomes. ",4,"Child and Adolescent Psychiatry and Underrepresented Youth With School Attendance Problems: Integration With Systems of Care, Advocacy, and Future Directions","Kearney CA, Benoit L.",J Am Acad Child Adolesc Psychiatry. 2022 Oct;61(10):1208-1210. doi: 10.1016/j.jaac.2022.03.016. Epub 2022 Mar 29.,Kearney CA,J Am Acad Child Adolesc Psychiatry,2022,2022/04/01,,,10.1016/j.jaac.2022.03.016
5,5,32870359,"Budd-Chiari syndrome is a vascular pathology of the liver, commonly seen in adults and uncommon in children. Most children with Budd-Chiari syndrome present with ascites, and an etiology is found in only about 50%. Ultrasonography (US) with color Doppler is the main modality used in the diagnosis. US imaging additionally guides radiologic interventions and follow-up after recanalization or shunt procedure. In this pictorial review, we illustrate the findings in pediatric Budd-Chiari syndrome as seen on B-mode and color Doppler US and describe the role of US in guiding percutaneous radiologic interventions, with a brief description of the role of US contrast agent and sonoelastography in this setting. ",5,Ultrasonography in pediatric Budd-Chiari syndrome,"Madhusudhan KS, Sharma S.",Pediatr Radiol. 2020 Nov;50(12):1768-1780. doi: 10.1007/s00247-020-04753-7. Epub 2020 Sep 1.,Madhusudhan KS,Pediatr Radiol,2020,2020/09/02,,,10.1007/s00247-020-04753-7
6,6,36646660,"High quality and culturally responsive early childhood education and care (ECEC) for young children before kindergarten is seen as a way to ensure that all children enter school ready to learn. ECEC is even more crucial in the context of recovery from the COVID-19 pandemic and the disproportionate burden of trauma and stress borne by families of color in disinvested neighborhoods. Remote learning and repeated disruptions to in-person instruction as protocols shifted during waves of the pandemic placed an extra strain on families, and may have increased educational disparities in the U.S. Taken together, these challenges have implications for children's school readiness due to their impact on opportunities for learning at home and in the classroom. This paper explores how ECEC programs can be strengthened to better meet children's needs, and ways in which future research can shed light on these important issues. ",6,Re-imagining Early Childhood Education and School Readiness for Children and Families of Color in the Time of COVID-19 and Beyond,"Kerker BD, Rojas NM, Dawson-McClure S, Gonzalez C.",Am J Health Promot. 2023 Feb;37(2):270-273. doi: 10.1177/08901171221140641c.,Kerker BD,Am J Health Promot,2023,2023/01/16,,,10.1177/08901171221140641c
7,7,35913365,"Previous research has underscored a need to understand the experiences and decision-making processes that contribute to suspension and expulsion in early care and education settings, particularly among young children of color. The present study conducted qualitative interviews with 20 center- and family-based childcare providers from the Minnesota Early Care and Education (MECE) study. Participants were asked about challenging child behaviors that they have encountered, their perceptions of these behaviors and how they manage them, and their thought processes around suspension and expulsion. Overall, the most frequently reported categories of challenging behaviors were physical aggression and noncompliance/defiance/arguing. The most commonly reported perceived causes of challenging behaviors were typical child development and parenting problems. The primary reported strategy for addressing challenging behaviors was connecting with the child, with relatively few providers reporting using other evidence-based strategies. Finally, the most commonly reported reasons for considering suspension or expulsion were the providers feeling they had exhausted options and could not meet the child's needs, and the child's behavior being perceived as dangerous to self or others. Implications for future research and practice (including increased support services for childcare providers) are discussed. La investigación previa ha subrayado una necesidad de comprender las experiencias y los procesos de toma de decisiones que contribuyen a la suspensión y expulsión en centros de tempranos cuidados y educación, particularmente entre niños pequeños de color. El presente estudio llevó a cabo entrevistas cualitativas con 20 proveedores de cuidado infantil con base en el centro y en la familia, del estudio Tempranos Cuidados y Educación en Minnesota (MECE). A los participantes se les preguntó acerca de los retos enfrentados en cuanto al comportamiento de los niños, sus percepciones de estos comportamientos y cómo los manejaron, así como los procesos de pensamiento sobre la suspensión y expulsión. En términos generales, las categorías más frecuentemente reportadas de comportamientos desafiantes fueron la agresión física y la desobediencia/desafío/discusión. Las más comúnmente reportadas causas percibidas de comportamientos desafiantes fueron el típico desarrollo del niño y problemas de crianza. La estrategia primariamente reportada para hablar de y dirigir los comportamientos desafiantes fue la conexión con el niño, con relativamente pocos proveedores que reportaron el uso de otra estrategia con base en la evidencia. Finalmente, las razones más comúnmente reportadas en cuanto a considerar la suspensión o la expulsión fueron el instinto del proveedor de haber agotado las opciones y el no haber podido satisfacer las necesidades del niño, así como la percepción de que el comportamiento del niño era peligroso para el propio niño y otros. Se discuten las implicaciones para la futura investigación (incluyendo el aumento de servicios de apoyo para proveedores del cuidado infantil). Les recherches précédentes ont souligné un besoin de comprendre les expériences et les processus décisionnels qui contribuent à la suspension et à l'expulsion dans les contextes de la crèche ou de l’éducation, particulièrement chez les jeunes enfants racialisés / de couleur. Cette étude a procédé à des entretiens qualitatifs avec 20 prestataires de service de garde d'enfants (centres ou crèches et prestataires à domicile) de l’étude des Soins Précoces et de l'Education (abrégé MECE) dans l’état du Minnesota aux Etats-Unis. Les participants ont répondu à des questions sur les comportements difficiles de l'enfant auxquels ils ont fait face, leurs perceptions de ces comportements et la manière dont ils les ont gérés, et leurs processus de réflexion au sujet de la suspension et de l'expulsion. Dans l'ensemble les catégories les plus fréquemment rapportées de comportements difficiles étaient l'agression physique et le non-respect, la défiance et la dispute. Les causes perçues de comportements difficiles les plus fréquemment rapportées étaient les problèmes typiques de comportement de l'enfant et de parentage. La stratégie la plus rapportée pour faire face aux comportements difficiles était de communiquer avec l'enfant, avec relativement peu de prestataires utilisant d'autres stratégies fondées sur des données probantes. Enfant, les raisons les plus communément rapportées quant à la considération de la suspension ou de l'expulsion étaient que les prestataires sentaient qu'ils avaient épuisé les options et ne pouvaient pas répondre aux besoins de l'enfant et que le comportement de l'enfant était perçu comme dangereux pour lui / elle ou les autres. Les implications pour les recherches et la pratique futures (y compris l'augmentation de services de soutien pour les prestataires de garde d'enfant) sont discutées. Die Sicht von Kinderbetreuungseinrichtungen auf problematisches Verhalten von Kindern, Suspendierung und Ausschluss: Eine qualitative Analyse Frühere Forschungsarbeiten haben die Notwendigkeit betont, die Erfahrungen und Entscheidungsprozesse zu verstehen, die zur Suspendierung und zum Ausschluss von Kindern aus der Frühbetreuung/ -erziehung beitragen, insbesondere bei Kleinkindern of Color. In der vorliegenden Studie wurden mit 20 Anbietern von Kinderbetreuungseinrichtungen und Familienbetreuungseinrichtungen aus der Minnesota Early Care and Education (MECE) Studie qualitative Interviews durchgeführt. Die Teilnehmenden wurden zu herausfordernden Verhaltensweisen von Kindern befragt, mit denen sie konfrontiert wurden, zu ihrer Wahrnehmung dieser Verhaltensweisen, zu ihrer Art, damit umzugehen, und zu ihren Denkprozessen bezüglich Suspendierung und Ausschluss. Insgesamt waren die am häufigsten genannten Kategorien herausfordernder Verhaltensweisen körperliche Aggression und Ungehorsam/Trotz/Streit. Die am häufigsten genannten Ursachen für herausforderndes Verhalten waren typische kindliche Entwicklungsprozesse und Erziehungsprobleme bei den Eltern. Die am häufigsten genannte Strategie zur Bewältigung schwieriger Verhaltensweisen war die Kontaktaufnahme mit dem Kind. Nur relativ wenige Anbieter gaben an, andere evidenzbasierte Strategien zu verwenden. Die am häufigsten genannten Gründe für eine Suspendierung oder einen Ausschluss waren schließlich, wenn die Anbieter das Gefühl hatten, alle Möglichkeiten ausgeschöpft zu haben und den Bedürfnissen des Kindes nicht gerecht werden zu können. Ein weiterer häufig genannter Grund war, wenn das Verhalten des Kindes als selbst- oder fremdgefährdend eingeschätzt wurde. Implikationen für zukünftige Forschung und Praxis (einschließlich verstärkter Unterstützungsangebote für Anbieter von Kinderbetreuungseinrichtungen) werden diskutiert. 子どもの挑戦的行動と停学、退学に関する保育者の見解:定性的分析 これまでの研究で、特に有色人種の幼児において、早期ケアや教育の現場における停学や退学の原因となる経験や意思決定過程を理解する必要性が強調されてきた。本研究では、ミネソタ州早期ケアと教育 (MECE) 研究における施設保育者および在宅保育者20名に対して定性的面接を行った。参加者は、これまでに遭遇した子どもの挑発的行動、これらの行動に対する認知、どのように対処したか、そして停学や退学に関連する思考過程について質問された。全体として、最も頻繁に報告された挑戦的行動の領域は、身体的な攻撃性と不従順/反抗的/論争的であった。挑戦的行動の原因として最もよく報告されたのは、典型的な子どもの発達と子育ての問題であった。挑戦的行動に対処するための主な戦略は、子どもと関係をつくることであり、他のエビデンスに基づいた戦略を用いることを報告した保育者は比較的少数であった。最後に、停学や退学を検討する理由として最も多く報告されたのは、選択肢を使い果たし、子どものニーズに応えられないと保育者が感じたこと、子どもの行動が自分や他人にとって危険であると認識されたことであった。今後の研究と実践への示唆 (保育者への支援サービスの充実など) を述べる。. 前的研究强调, 在早期护理和教育机构中, 需要了解导致停学和开除 (特别是在有色人种的幼儿中) 的经验与决策过程。本研究对来自“明尼苏达州早期护理和教育”(MECE) 研究项目的20个中心托儿和家庭托儿服务提供者进行了定性访谈。参与者被问及他们遇到的具有挑战性的儿童行为, 他们对这些行为的看法, 他们如何管理这些行为, 以及他们围绕停学和开除的思维过程。总体而言, 最常报告的挑战性行为类别是身体攻击, 以及不服从、反抗或争吵。最常报告的导致挑战性行为的原因是典型的儿童发育和养育问题。报告的应对挑战性行为的主要策略是与儿童沟通, 而使用其他循证策略的提供者相对较少。最后, 最常报告的考虑停学或开除的原因是, 提供者觉得他们已经穷尽了选择而无法满足儿童的需求, 以及儿童的行为被认为对自己或他人有危险。还讨论了对未来研究和实践的影响 (包括增加对托儿服务提供者的支持服务) 。. آراء مقدمي رعاية الأطفال حول السلوكيات الصعبة للأطفال وحالات التعليق والطرد: تحليل وصفي أكدت الأبحاث السابقة على الحاجة إلى فهم الخبرات وعمليات صنع القرار التي تساهم في التعليق والطرد في أماكن الرعاية والتعليم المبكرة ، لا سيما بين الأطفال الصغار الملونين. أجرت الدراسة الحالية مقابلات نوعية مع 20 من مقدمي الرعاية من مراكز الرعاية وعلى مستوى العائلات باستخدام بيانات من دراسة مينيسوتا للرعاية المبكرة والتعليم (MECE). وسُئل المشاركون عن السلوكيات الصعبة التي واجهوها مع الأطفال ، وتصوراتهم عن هذه السلوكيات وكيفية إدارتها ، وعمليات تفكيرهم حول التعليق والطرد. بشكل عام ، كانت أنواع السلوكيات الصعبة الأكثر شيوعاً هي العدوان الجسدي وعدم الامتثال / التحدي / الجدال. وكانت الأسباب المتصورة الأكثر شيوعًا للسلوكيات الصعبة هي مشكلات نمو الطفل والتربية الوالدية. كانت الإستراتيجية الأولية التي تم الإبلاغ عنها لمعالجة السلوكيات الصعبة هي التواصل مع الطفل ، مع عدد قليل نسبيًا من مقدمي الخدمة الذين أبلغوا عن استخدام استراتيجيات أخرى قائمة على الأدلة. أخيرًا ، كانت الأسباب الأكثر شيوعًا للنظر في التعليق أو الطرد هي شعور مقدمي الخدمة بأنهم استنفدوا خياراتهم ولا يمكنهم تلبية احتياجات الطفل ، وأن سلوك الطفل يُنظر إليه على أنه خطر على نفسه أو على الآخرين. تم مناقشة التطبيقات العملية على البحث والممارسة في المستقبل (بما في ذلك زيادة خدمات الدعم لمقدمي رعاية الأطفال). ",7,"Childcare providers' views of challenging child behaviors, suspension, and expulsion: A qualitative analysis","Mondi CF, Rihal TK, Magro SW, Kerber S, Carlson EA.",Infant Ment Health J. 2022 Sep;43(5):695-713. doi: 10.1002/imhj.22005. Epub 2022 Aug 1.,Mondi CF,Infant Ment Health J,2022,2022/08/01,PMC9463106,NIHMS1825302,10.1002/imhj.22005
8,8,34742662,"Health inequities disproportionately impact children of color in the United States. Research demonstrates that a diverse physician workforce that reflects the demographic profile of the United States population has been associated with better health outcomes and physicians of color are more likely to work in communities that are medically underserved. Therefore, a key driver to reducing health inequities is recruiting a physician workforce that reflects the racial/ethnic composition of the population. Although efforts on increasing UIM applicants and matriculants into medical school and more recently, graduate medical education (GME) programs have shown some small successes, there has still not been significant change in decades. This narrative review examined the historical trends and current landscape of recruitment in GME to better understand the barriers and facilitators that continue to exist and identify successful interventions that might serve as a model to support recruitment of UIM applicants. There is evidence for racial disparities and bias in traditional residency selection metrics (USMLE, Clerkship Evaluations, MSPE, AOA status, etc.) and a need for more holistic recruitment strategies. Along with implementing new holistic recruitment practices, there is a need for ongoing research and collaboration to study inclusive and equitable learning environments and assessments that will eliminate racial disparities in educational outcomes. Additionally, there must be better longitudinal data utilization and transparency across Electronic Residency Application Services (ERAS) and National Resident Matching Program (NRMP) for accountability and tracking of interventions. ",8,"Underrepresented in medicine in graduate medical education: Historical trends, bias, and recruitment practices","Yemane L, Omoruyi E.",Curr Probl Pediatr Adolesc Health Care. 2021 Oct;51(10):101088. doi: 10.1016/j.cppeds.2021.101088. Epub 2021 Nov 3.,Yemane L,Curr Probl Pediatr Adolesc Health Care,2021,2021/11/07,,,10.1016/j.cppeds.2021.101088
9,9,36895044,"Reptiles exhibit a wide variety of skin colors, which serve essential roles in survival and reproduction. However, the molecular basis of these conspicuous colors remains unresolved. We investigate color morph-enriched Asian vine snakes (Ahaetulla prasina), to explore the mechanism underpinning color variations. Transmission electron microscopy imaging and metabolomics analysis indicates that chromatophore morphology (mainly iridophores) is the main basis for differences in skin color. Additionally, we assemble a 1.77-Gb high-quality chromosome-anchored genome of the snake. Genome-wide association study and RNA sequencing reveal a conservative amino acid substitution (p.P20S) in SMARCE1, which may be involved in the regulation of chromatophore development initiated from neural crest cells. SMARCE1 knockdown in zebrafish and immunofluorescence verify the interactions among SMARCE1, iridophores, and tfec, which may determine color variations in the Asian vine snake. This study reveals the genetic associations of color variation in Asian vine snakes, providing insights and important resources for a deeper understanding of the molecular and genetic mechanisms related to reptilian coloration. ",9,Genetic mapping and molecular mechanism behind color variation in the Asian vine snake,"Tang CY, Zhang X, Xu X, Sun S, Peng C, Song MH, Yan C, Sun H, Liu M, Xie L, Luo SJ, Li JT.",Genome Biol. 2023 Mar 9;24(1):46. doi: 10.1186/s13059-023-02887-z.,Tang CY,Genome Biol,2023,2023/03/09,PMC9999515,,10.1186/s13059-023-02887-z
