,Unnamed: 0_x,PMID,abstract,Unnamed: 0_y,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,0,26315793,"Primary venous aneurysm, especially in pediatric population, is a very rare clinical entity. We report a case of primary great saphenous vein aneurysm in a 4-year-old boy. He was initially suspected of suffering from inguinal hernia because the soft mass was detected at the inguinal region when the patient was in the standing position, but color Doppler ultrasonography demonstrated the swelling to be a great saphenous vein aneurysm. We decided that surgery was the best option because of potential risk for thromboembolism. ",2000,Groin Swelling in a Four-Year-Old Boy: Primary Great Saphenous Vein Aneurysm,"Çiçek MC, Çiçek ÖF, Yalçınkaya A, Taşoğlu İ.",Ann Vasc Surg. 2015 Nov;29(8):1660.e11-2. doi: 10.1016/j.avsg.2015.06.082. Epub 2015 Aug 24.,Çiçek MC,Ann Vasc Surg,2015,2015/08/29,,,10.1016/j.avsg.2015.06.082
1,1,23407820,"This study describes and evaluates the application of a waiting list management program in ambulatory care. Waiting list active management survey (telephone call and further contact); before and after controlled trial. Local Health Trust in Veneto Region (North-East of Italy) in 2008-09. Five hundred and one people on a 554 waiting list for C Class ambulatory care diagnostic and/or clinical investigations (electrocardiography plus cardiology ambulatory consultation, eye ambulatory consultation, carotid vessels Eco-color-Doppler, legs Eco-color-Doppler or colonoscopy, respectively). Active list management program consisting of a telephonic interview on 21 items to evaluate socioeconomic features, self-perceived health status, social support, referral physician, accessibility and patients' satisfaction. A controlled before-and-after study was performed to evaluate anonymously the overall impact on patients' self-perceived quality of care. The rate of patients with deteriorating healthcare conditions; rate of dropout; interviewed degree of satisfaction about the initiative; overall impact on citizens' perceived quality of care. 95.4% patients evaluated the initiative as useful. After the intervention, patients more likely to have been targeted with the program showed a statistically significant increase in self-reported quality of care. Positive impact of the program on some dimensions of ambulatory care quality (health status, satisfaction, willingness to remain in the queue), thus confirming the outstanding value of 'not to leave people alone' and 'not to leave them feeling themselves alone' in healthcare delivery. ",2001,Wait watchers: the application of a waiting list active management program in ambulatory care,"de Belvis AG, Marino M, Avolio M, Pelone F, Basso D, Dei Tos GA, Cinquetti S, Ricciardi W.",Int J Qual Health Care. 2013 Apr;25(2):205-12. doi: 10.1093/intqhc/mzt015. Epub 2013 Feb 13.,de Belvis AG,Int J Qual Health Care,2013,2013/02/15,,,10.1093/intqhc/mzt015
2,2,36639598,"Patient-reported Outcome (PRO) measures may be used as the basis for out-patient follow-up instead of fixed appointments. The patients attend follow-up from home by filling in questionnaires developed for that specific aim and patient group (telePRO). The questionnaires are handled in real time by a specific algorithm, which assigns an outcome color reflecting clinical need. The specific questionnaires and algorithms (named solutions) are constructed in a consensus process with clinicians. We aimed to describe AmbuFlex' telePRO solutions and the algorithm outcomes and variation between patient groups, and to discuss possible applications and challenges. TelePRO solutions with more than 100 processed questionnaires were included in the analysis. Data were retrieved together with data from national registers. Characteristics of patients, questionnaires and outcomes were tabulated for each solution. Graphs were constructed depicting the overall and within-patient distribution of algorithm outcomes for each solution. From 2011 to 2021, 29 specific telePRO solutions were implemented within 24 different ICD-10 groups. A total of 42,015 patients were referred and answered 171,268 questionnaires. An existing applicable instrument with cut-off values was available for four solutions, whereas items were selected or developed ad hoc for the other solutions. Mean age ranged from 10.7 (Pain in children) to 73.3 years (chronic kidney disease). Mortality among referred patients varied between 0 (obesity, asthma, endometriosis and pain in children) and 528 per 1000 patient years (Lung cancer). There was substantial variation in algorithm outcome across patient groups while different solutions within the same patient group varied little. TelePRO can be applied in diseases where PRO can reflect clinical status and needs. Questionnaires and algorithms should be adapted for the specific patient groups and clinical aims. When PRO is used as replacement for clinical contact, special carefulness should be observed with respect to patient safety. ",2002,Patient-reported outcome (PRO) measurements in chronic and malignant diseases: ten years' experience with PRO-algorithm-based patient-clinician interaction (telePRO) in AmbuFlex,"Hjollund NHI, Larsen LP, de Thurah AL, Grove BE, Skuladottir H, Linnet H, Friis RB, Johnsen SP, May O, Jensen AL, Hansen TK, Taarnhøj GA, Tolstrup LK, Pappot H, Ivarsen P, Dørflinger L, Jessen A, Sørensen NT, Schougaard LMV, Team TA.",Qual Life Res. 2023 Apr;32(4):1053-1067. doi: 10.1007/s11136-022-03322-9. Epub 2023 Jan 13.,Hjollund NHI,Qual Life Res,2023,2023/01/13,PMC10063508,,10.1007/s11136-022-03322-9
3,3,28550741,"Syndrome differentiation (SD) results in a diagnostic conclusion based on a cluster of concurrent symptoms and signs, including pulse form and tongue color. In Korea, there is a strong interest in the standardization of Traditional Medicine (TM). In order to standardize TM treatment, standardization of SD should be given priority. The aim of this study was to explore the SD, or symptom clusters, of patients with atopic dermatitis (AD) using non-negative factorization methods and k-means clustering analysis. We screened 80 patients and enrolled 73 eligible patients. One TM dermatologist evaluated the symptoms/signs using an existing clinical dataset from patients with AD. This dataset was designed to collect 15 dermatologic and 18 systemic symptoms/signs associated with AD. Non-negative matrix factorization was used to decompose the original data into a matrix with three features and a weight matrix. The point of intersection of the three coordinates from each patient was placed in three-dimensional space. With five clusters, the silhouette score reached 0.484, and this was the best silhouette score obtained from two to nine clusters. Patients were clustered according to the varying severity of concurrent symptoms/signs. Through the distribution of the null hypothesis generated by 10,000 permutation tests, we found significant cluster-specific symptoms/signs from the confidence intervals in the upper and lower 2.5% of the distribution. Patients in each cluster showed differences in symptoms/signs and severity. In a clinical situation, SD and treatment are based on the practitioners' observations and clinical experience. SD, identified through informatics, can contribute to development of standardized, objective, and consistent SD for each disease. ",2003,Exploring syndrome differentiation using non-negative matrix factorization and cluster analysis in patients with atopic dermatitis,"Yun Y, Jung W, Kim H, Jang BH, Kim MH, Noh J, Ko SG, Choi I.",Comput Biol Med. 2017 Aug 1;87:70-76. doi: 10.1016/j.compbiomed.2017.05.023. Epub 2017 May 22.,Yun Y,Comput Biol Med,2017,2017/05/28,,,10.1016/j.compbiomed.2017.05.023
4,4,6884959,"The population of Southern Africa is currently estimated at least 40 million and comprises people of 3 major--groups Negroid, Khoisan and Caucasoid. In addition to these, there are also smaller groups whose origin is Asiatic or Oriental, and a mixed group (coloured) which has resulted from the miscegenation between the Negroid-Caucasoid and other groups [1]. This great diversity of peoples and cultures permits unique opportunities for studies in comparative medicine which may provide valuable information about the pathogenesis and natural history of disease. The rheumatic diseases have not been looked at in this comparative way until recently. This is, in part, because the demands of infective and nutritional diseases on medical services have tended to overshadow the rheumatic diseases. This paper reviews the investigation of inflammatory rheumatic disease in Southern Africa. ",2004,[Rheumatism--a disease of civilization? Incidence of inflammatory rheumatic diseases in South Africa],"Meyers OL, Jessop S, Klemp P, Keraan M.","Fortschr Med. 1983 Jul 14;101(26):1224-7, 1230.",Meyers OL,Fortschr Med,1983,1983/07/14,,,
5,5,15852284,"Adnexal torsion is a condition that may result in serious morbidity including adnexal removal. However, conservative management with preserving the torsed adnexa is not justified, and long-term outcomes remain unclear. The records of 14 girls with ovarian torsion whose adnexal structures were preserved after detorsion were reviewed to evaluate the long-term results of conservative management. Data including age, previous history, duration of complaints, surgical findings and type of intervention, color Doppler ultrasound findings performed in the early and late postoperative periods, and final outcomes were collected. Mean age of patients was 11.5 +/- 2.8 (range 6 to 15) years. Time interval between the onset of pain to surgery was 46.78 +/- 35.5 (range 12 to 126) hours. Seven patients had a benign solitary cyst as an underlying cause for adnexal torsion. The intervention performed by open surgery in 9 and by laparoscopy in 5 patients included detorsion, simple cyst aspiration, unroofing and/or cystectomy in 7 patients with ovarian cysts, and oophoropexy in 9 of 14 patients. Follow-up ranged from 3 to 66 (mean 21.9 +/- 20.1) months. Thirteen patients resumed normal size and folliculogenesis, whereas in 1 patient, the involved ovary atrophied. No recurrence or contralateral adnexal torsion was observed on follow-up. Conservative management with untwisting the ovary and pexing both retained detorsed and contralateral ovaries especially in idiopathic torsions should be considered in cases of ovarian torsion in children. ",2005,Long-term results of conservative management of adnexal torsion in children,"Celik A, Ergün O, Aldemir H, Ozcan C, Ozok G, Erdener A, Balýk E.",J Pediatr Surg. 2005 Apr;40(4):704-8. doi: 10.1016/j.jpedsurg.2005.01.008.,Celik A,J Pediatr Surg,2005,2005/04/27,,,10.1016/j.jpedsurg.2005.01.008
6,6,9327713,"Twenty-five patients (mean age 7.0 +/- 4.8 years) underwent transcatheter coil occlusion of patent ductus arteriosus with detachable coils. The minimum diameter of the ductus arteriosus ranged from 1.0 to 4.2 mm (mean 2.6 +/- 0.9 mm). A single-coil technique was used in 17 patients, double- (six patients) or triple-coil (two patients) techniques were used in eight patients. The coil was not detached until sufficient shape and position of implanted coils were confirmed. All patients had successful implantation of coils regardless of the morphologic characteristics of the ductus. Immediately after the occlusion, heart murmurs were abolished in all patients. Color-flow mapping showed complete closure in 16 (64%) patients immediately after and 20 (80%) patients 1 month after the procedure. No significant complications occurred. The advantages of this detachable coil system may reduce coil migration and allow safer and more reliable execution of this procedure. ",2006,Coil occlusion of patent ductus arteriosus with detachable coils,"Akagi T, Hashino K, Sugimura T, Ishii M, Eto G, Kato H.",Am Heart J. 1997 Sep;134(3):538-43. doi: 10.1016/s0002-8703(97)70092-9.,Akagi T,Am Heart J,1997,1997/11/05,,,10.1016/s0002-8703(97)70092-9
7,7,25449932,"Increasing rates of preterm births coupled with better survival of these infants have resulted in higher prevalence of systemic and ocular complications associated with prematurity. In addition to retinopathy of prematurity, infants who are born preterm may suffer from severe visual impairment as a result of hypoxic ischemic encephalopathy, hypoglycemia, and other metabolic imbalances. The effect of these processes on the anterior visual pathway may result in optic atrophy, optic nerve hypoplasia or optic disc cupping and affection of the posterior visual pathway leads to cortical visual impairment (CVI). Other ocular associations include strabismus, nystagmus, and ocular motor abnormalities such as tonic down gaze and defective saccades and pursuits. Cortical and subcortical involvement also manifests as defects in functional vision and these have not yet been completely understood. Children with CVI may have visual field defects, photophobia, defective visual processing, and deficient color vision. Since most of these children also suffer from additional systemic disabilities, evaluation, and management remains a challenge. However, early diagnosis and initiation of rehabilitation therapy can prove to be of significant benefit in these children. ",2007,Neuro-ophthalmic manifestations of prematurity,"Chhablani PP, Kekunnaya R.",Indian J Ophthalmol. 2014 Oct;62(10):992-5. doi: 10.4103/0301-4738.145990.,Chhablani PP,Indian J Ophthalmol,2014,2014/12/03,PMC4278126,,10.4103/0301-4738.145990
8,8,25781359,"No studies have examined the association between TSH and lipid profiles of healthy children and adolescents in the general population. The objective was to investigate the association between TSH and lipid profiles. We used a population-based cross-sectional study design and analyzed our results using multivariable regression models. The study was conducted in Germany. We analyzed data from 6622 children (ages 3-10 y) and 6134 adolescents (ages 11-17 y) drawn from the German Health Interview and Examination Survey for Children and Adolescents (KiGGS). Not applicable. Blood samples were collected, and serum TSH levels were measured using the electrochemiluminescence method. High and low serum TSH levels were defined according to age-specific reference limits for the assay. Total cholesterol, low-density lipoprotein cholesterol (LDL-C), high-density lipoprotein cholesterol (HDL-C), and triglyceride levels were determined with enzymatic color analyses. We found a significant positive association between TSH and all non-HDL parameters (total cholesterol, LDL-C, and triglycerides) in children (β = 0.90, 95% confidence interval [CI], 0.53-1.27; β = 0.78, 95% CI, 0.44-1.13; and β = 0.90, 95% CI, 0.52-1.27, respectively) and in adolescents (β = 0.90, 95% CI, 0.47-1.32; β = 0.67, 95% CI, 0.29-1.05; and β = 0.92, 95% CI, 0.49-1.35, respectively) (P < .05). Using stratified models, we found that this relationship was particularly present in overweight/obese children. Furthermore, high TSH levels in children were significantly associated with non-HDL parameters. Higher TSH levels are associated with less favorable lipid levels in children. Longitudinal studies are needed to clarify whether the association between TSH and lipid parameters in children and adolescents is a temporary phenomenon or is sustained into adulthood. ",2008,Association between serum thyroid-stimulating hormone levels and serum lipids in children and adolescents: a population-based study of german youth,"Witte T, Ittermann T, Thamm M, Riblet NB, Völzke H.",J Clin Endocrinol Metab. 2015 May;100(5):2090-7. doi: 10.1210/jc.2014-4466. Epub 2015 Mar 17.,Witte T,J Clin Endocrinol Metab,2015,2015/03/18,,,10.1210/jc.2014-4466
9,9,32791971,"Lead is known to be associated with attention-deficit/hyperactivity disorder (ADHD) even at low concentrations. We aimed to evaluate neurocognitive functions associated with lead in the blood and the interactions between lead and dopaminergic or noradrenergic pathway-related genotypes in youths with ADHD. A total of 259 youths with ADHD and 96 healthy controls (aged 5-18 years) enrolled in this study. The Korean Kiddie Schedule for Affective Disorders and Schizophrenia-Present and Lifetime version was conducted for psychiatric diagnostic evaluation. Blood lead levels were measured, and their interaction with dopaminergic or noradrenergic genotypes for ADHD; namely, the dopamine transporter (DAT1), dopamine receptor D4 (DRD4), and alpha-2A-adrenergic receptor (ADRA2A) genotypes were investigated. All participants were assessed using the ADHD Rating Scale-IV (ADHD-RS). Participants also completed the continuous performance test (CPT) and Stroop Color-Word Test (SCWT). Analysis of covariance was used for comparison of blood lead levels between ADHD and control groups. A multivariable linear regression model was used to evaluate the associations of blood lead levels with the results of ADHD-RS, CPT, and SCWT; adjusted for intelligence quotient (IQ), age, and sex. A path analysis model was used to identify the mediating effects of neurocognitive functions on the effects of blood lead on ADHD symptoms. To evaluate the effect of the interaction between blood lead and genes on neuropsychological functions, hierarchical regression analyses were performed. There was a significant difference in blood lead levels between the ADHD and control groups (1.4 ± 0.5 vs. 1.3 ± 0.5 μg/dL, p = .005). Blood lead levels showed a positive correlation with scores on omission errors(r = .158, p = .003) and response time variability (r = .136, p = .010) of CPT. In the multivariable linear regression model, blood lead levels were associated with omission errors (B = 3.748, p = .045). Regarding the effects of lead on ADHD symptoms, hyperactivity-impulsivity was mediated by omission errors. An interaction effect was detected between ADRA2A DraI genotype and lead levels on omission errors (B = 5.066, p = .041). Our results indicate that neurocognitive functions at least partly mediate the association between blood lead levels and ADHD symptoms, and that neurocognitive functions are affected by the interaction between blood lead levels and noradrenergic genotype. ",2009,Interaction between lead and noradrenergic genotypes affects neurocognitive functions in attention-deficit/hyperactivity disorder: a case control study,"Choi JW, Jung AH, Nam S, Kim KM, Kim JW, Kim SY, Kim BN, Kim JW.",BMC Psychiatry. 2020 Aug 6;20(1):407. doi: 10.1186/s12888-020-02799-3.,Choi JW,BMC Psychiatry,2020,2020/08/15,PMC7425170,,10.1186/s12888-020-02799-3
