PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36669474","Light modulates glucose metabolism by a retina-hypothalamus-brown adipose tissue axis","Meng JJ, Shen JW, Li G, Ouyang CJ, Hu JX, Li ZS, Zhao H, Shi YM, Zhang M, Liu R, Chen JT, Ma YQ, Zhao H, Xue T.","Cell. 2023 Jan 19;186(2):398-412.e17. doi: 10.1016/j.cell.2022.12.024.","Meng JJ","Cell","2023","2023/01/20","","","10.1016/j.cell.2022.12.024"
"35675826","Deubiquitinase OTUD3 regulates metabolism homeostasis in response to nutritional stresses","Zhou N, Qi H, Liu J, Zhang G, Liu J, Liu N, Zhu M, Zhao X, Song C, Zhou Z, Gong J, Li R, Bai X, Jin Y, Song Y, Yin Y.","Cell Metab. 2022 Jul 5;34(7):1023-1041.e8. doi: 10.1016/j.cmet.2022.05.005. Epub 2022 Jun 7.","Zhou N","Cell Metab","2022","2022/06/08","","","10.1016/j.cmet.2022.05.005"
"30047927","Endothelial cell CD36 optimizes tissue fatty acid uptake","Son NH, Basu D, Samovski D, Pietka TA, Peche VS, Willecke F, Fang X, Yu SQ, Scerbo D, Chang HR, Sun F, Bagdasarov S, Drosatos K, Yeh ST, Mullick AE, Shoghi KI, Gumaste N, Kim K, Huggins LA, Lhakhang T, Abumrad NA, Goldberg IJ.","J Clin Invest. 2018 Oct 1;128(10):4329-4342. doi: 10.1172/JCI99315. Epub 2018 Jul 26.","Son NH","J Clin Invest","2018","2018/07/27","PMC6159965","","10.1172/JCI99315"
"37134161","Acetylcarnitine shuttling links mitochondrial metabolism to histone acetylation and lipogenesis","Izzo LT, Trefely S, Demetriadou C, Drummond JM, Mizukami T, Kuprasertkul N, Farria AT, Nguyen PTT, Murali N, Reich L, Kantner DS, Shaffer J, Affronti H, Carrer A, Andrews A, Capell BC, Snyder NW, Wellen KE.","Sci Adv. 2023 May 3;9(18):eadf0115. doi: 10.1126/sciadv.adf0115. Epub 2023 May 3.","Izzo LT","Sci Adv","2023","2023/05/03","PMC10156126","","10.1126/sciadv.adf0115"
"35090800","Comparison of triglyceride-glucose index and HOMA-IR for predicting prevalence and incidence of metabolic syndrome","Son DH, Lee HS, Lee YJ, Lee JH, Han JH.","Nutr Metab Cardiovasc Dis. 2022 Mar;32(3):596-604. doi: 10.1016/j.numecd.2021.11.017. Epub 2021 Dec 7.","Son DH","Nutr Metab Cardiovasc Dis","2022","2022/01/29","","","10.1016/j.numecd.2021.11.017"
"36555387","The Influence of Lifestyle and Treatment on Oxidative Stress and Inflammation in Diabetes","Wronka M, Krzemińska J, Młynarska E, Rysz J, Franczyk B.","Int J Mol Sci. 2022 Dec 12;23(24):15743. doi: 10.3390/ijms232415743.","Wronka M","Int J Mol Sci","2022","2022/12/23","PMC9778895","","10.3390/ijms232415743"
"35972218","Finerenone in Patients With Chronic Kidney Disease and Type 2 Diabetes by Sodium-Glucose Cotransporter 2 Inhibitor Treatment: The FIDELITY Analysis","Rossing P, Anker SD, Filippatos G, Pitt B, Ruilope LM, Birkenfeld AL, McGill JB, Rosas SE, Joseph A, Gebel M, Roberts L, Scheerer MF, Bakris GL, Agarwal R; FIDELIO-DKD and FIGARO-DKD Investigators.","Diabetes Care. 2022 Dec 1;45(12):2991-2998. doi: 10.2337/dc22-0294.","Rossing P","Diabetes Care","2022","2022/08/16","PMC9862372","","10.2337/dc22-0294"
"35421426","Mitochondrial protease ClpP supplementation ameliorates diet-induced NASH in mice","Choi SE, Hwang Y, Lee SJ, Jung H, Shin TH, Son Y, Park S, Han SJ, Kim HJ, Lee KW, Lee G, Kemper JK, Song HK, Kang Y.","J Hepatol. 2022 Sep;77(3):735-747. doi: 10.1016/j.jhep.2022.03.034. Epub 2022 Apr 12.","Choi SE","J Hepatol","2022","2022/04/14","","","10.1016/j.jhep.2022.03.034"
"35832094","N(6)-methyladenosine-mediated LDHA induction potentiates chemoresistance of colorectal cancer cells through metabolic reprogramming","Zhang K, Zhang T, Yang Y, Tu W, Huang H, Wang Y, Chen Y, Pan K, Chen Z.","Theranostics. 2022 Jun 13;12(10):4802-4817. doi: 10.7150/thno.73746. eCollection 2022.","Zhang K","Theranostics","2022","2022/07/14","PMC9254245","","10.7150/thno.73746"
"35390676","SSBP1 drives high fructose-induced glomerular podocyte ferroptosis via activating DNA-PK/p53 pathway","Wu WY, Wang ZX, Li TS, Ding XQ, Liu ZH, Yang J, Fang L, Kong LD.","Redox Biol. 2022 Jun;52:102303. doi: 10.1016/j.redox.2022.102303. Epub 2022 Mar 31.","Wu WY","Redox Biol","2022","2022/04/07","PMC8990215","","10.1016/j.redox.2022.102303"
"32842536","Loganin Attenuates High Glucose-Induced Schwann Cells Pyroptosis by Inhibiting ROS Generation and NLRP3 Inflammasome Activation","Cheng YC, Chu LW, Chen JY, Hsieh SL, Chang YC, Dai ZK, Wu BN.","Cells. 2020 Aug 23;9(9):1948. doi: 10.3390/cells9091948.","Cheng YC","Cells","2020","2020/08/27","PMC7564733","","10.3390/cells9091948"
"37764652","Soft Drinks and Symptoms of Depression and Anxiety in Overweight Subjects: A Longitudinal Analysis of an European Cohort","Castro A, Gili M, Visser M, Penninx BWJH, Brouwer IA, Montaño JJ, Pérez-Ara MÁ, García-Toro M, Watkins E, Owens M, Hegerl U, Kohls E, Bot M, Roca M.","Nutrients. 2023 Sep 5;15(18):3865. doi: 10.3390/nu15183865.","Castro A","Nutrients","2023","2023/09/28","PMC10536294","","10.3390/nu15183865"
"38335002","Denosumab and the Risk of Diabetes in Patients Treated for Osteoporosis","Huang HK, Chuang AT, Liao TC, Shao SC, Liu PP, Tu YK, Lai EC.","JAMA Netw Open. 2024 Feb 5;7(2):e2354734. doi: 10.1001/jamanetworkopen.2023.54734.","Huang HK","JAMA Netw Open","2024","2024/02/09","PMC10858399","","10.1001/jamanetworkopen.2023.54734"
"38714664","FGFR inhibition blocks NF-ĸB-dependent glucose metabolism and confers metabolic vulnerabilities in cholangiocarcinoma","Zhen Y, Liu K, Shi L, Shah S, Xu Q, Ellis H, Balasooriya ER, Kreuzer J, Morris R, Baldwin AS, Juric D, Haas W, Bardeesy N.","Nat Commun. 2024 May 7;15(1):3805. doi: 10.1038/s41467-024-47514-y.","Zhen Y","Nat Commun","2024","2024/05/07","PMC11076599","","10.1038/s41467-024-47514-y"
"33845210","SMARCA4 and Other SWItch/Sucrose NonFermentable Family Genomic Alterations in NSCLC: Clinicopathologic Characteristics and Outcomes to Immune Checkpoint Inhibition","Alessi JV, Ricciuti B, Spurr LF, Gupta H, Li YY, Glass C, Nishino M, Cherniack AD, Lindsay J, Sharma B, Felt KD, Rodig SJ, Cheng ML, Sholl LM, Awad MM.","J Thorac Oncol. 2021 Jul;16(7):1176-1187. doi: 10.1016/j.jtho.2021.03.024.","Alessi JV","J Thorac Oncol","2021","2021/04/12","","","10.1016/j.jtho.2021.03.024"
