PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34515229","Influence of Ethnicities and Skin Color Variations in Different Populations: A Review","Naik PP, Farrukh SN.","Skin Pharmacol Physiol. 2022;35(2):65-76. doi: 10.1159/000518826. Epub 2021 Aug 5.","Naik PP","Skin Pharmacol Physiol","2022","2021/09/13","","","10.1159/000518826"
"31827593","Kidney and uro-trauma: WSES-AAST guidelines","Coccolini F, Moore EE, Kluger Y, Biffl W, Leppaniemi A, Matsumura Y, Kim F, Peitzman AB, Fraga GP, Sartelli M, Ansaloni L, Augustin G, Kirkpatrick A, Abu-Zidan F, Wani I, Weber D, Pikoulis E, Larrea M, Arvieux C, Manchev V, Reva V, Coimbra R, Khokha V, Mefire AC, Ordonez C, Chiarugi M, Machado F, Sakakushev B, Matsumoto J, Maier R, di Carlo I, Catena F; WSES-AAST Expert Panel.","World J Emerg Surg. 2019 Dec 2;14:54. doi: 10.1186/s13017-019-0274-x. eCollection 2019.","Coccolini F","World J Emerg Surg","2019","2019/12/13","PMC6886230","","10.1186/s13017-019-0274-x"
"37209759","Understanding Race-Based Medicine and Its Impact on Radiology","Medrano D, Matsumoto MM, Flores E, Dako F.","J Am Coll Radiol. 2023 Jul;20(7):623-628. doi: 10.1016/j.jacr.2023.03.017. Epub 2023 May 18.","Medrano D","J Am Coll Radiol","2023","2023/05/20","","","10.1016/j.jacr.2023.03.017"
"38423749","Artificial food additives: hazardous to long-term health?","Warner JO.","Arch Dis Child. 2024 Oct 18;109(11):882-885. doi: 10.1136/archdischild-2023-326565.","Warner JO","Arch Dis Child","2024","2024/02/29","","","10.1136/archdischild-2023-326565"
"35850874","Color and surface stainability of additively and subtractively manufactured interim restorative materials against mouth rinses","Myagmar G, Daher R, Yeo IL, Ahn JS, Han JS, Lee JH.","J Prosthet Dent. 2023 Dec;130(6):927-934. doi: 10.1016/j.prosdent.2022.06.003. Epub 2022 Jul 15.","Myagmar G","J Prosthet Dent","2023","2022/07/19","","","10.1016/j.prosdent.2022.06.003"
"35034772","Reflectance and color prediction of dental material monolithic samples with varying thickness","Tejada-Casado M, Ghinea R, Perez MM, Lübbe H, Pop-Ciutrila IS, Ruiz-López J, Herrera LJ.","Dent Mater. 2022 Apr;38(4):622-631. doi: 10.1016/j.dental.2021.12.140. Epub 2022 Jan 13.","Tejada-Casado M","Dent Mater","2022","2022/01/17","","","10.1016/j.dental.2021.12.140"
"37241420","Color and Translucency Variation of a One-Shaded Resin-Based Composite after Repeated Heating Cycles and Staining","Prodan CM, Gasparik C, Ruiz-López J, Dudea D.","Materials (Basel). 2023 May 17;16(10):3793. doi: 10.3390/ma16103793.","Prodan CM","Materials (Basel)","2023","2023/05/27","PMC10222602","","10.3390/ma16103793"
"36143757","Surface Roughness and Color Stability of 3D-Printed Denture Base Materials after Simulated Brushing and Thermocycling","Çakmak G, Molinero-Mourelle P, De Paula MS, Akay C, Cuellar AR, Donmez MB, Yilmaz B.","Materials (Basel). 2022 Sep 16;15(18):6441. doi: 10.3390/ma15186441.","Çakmak G","Materials (Basel)","2022","2022/09/23","PMC9503686","","10.3390/ma15186441"
"27515712","Carotenoids of Microalgae Used in Food Industry and Medicine","Gateau H, Solymosi K, Marchand J, Schoefs B.","Mini Rev Med Chem. 2017;17(13):1140-1172. doi: 10.2174/1389557516666160808123841.","Gateau H","Mini Rev Med Chem","2017","2016/08/13","","","10.2174/1389557516666160808123841"
"33041075","Staining and aging-dependent changes in color of CAD-CAM materials","Stamenković DD, Tango RN, Todorović A, Karasan D, Sailer I, Paravina RD.","J Prosthet Dent. 2021 Nov;126(5):672-678. doi: 10.1016/j.prosdent.2020.09.005. Epub 2020 Oct 9.","Stamenković DD","J Prosthet Dent","2021","2020/10/12","","","10.1016/j.prosdent.2020.09.005"
