PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29544767","Diagnosis and management of Aspergillus diseases: executive summary of the 2017 ESCMID-ECMM-ERS guideline","Ullmann AJ, Aguado JM, Arikan-Akdagli S, Denning DW, Groll AH, Lagrou K, Lass-Flörl C, Lewis RE, Munoz P, Verweij PE, Warris A, Ader F, Akova M, Arendrup MC, Barnes RA, Beigelman-Aubry C, Blot S, Bouza E, Brüggemann RJM, Buchheidt D, Cadranel J, Castagnola E, Chakrabarti A, Cuenca-Estrella M, Dimopoulos G, Fortun J, Gangneux JP, Garbino J, Heinz WJ, Herbrecht R, Heussel CP, Kibbler CC, Klimko N, Kullberg BJ, Lange C, Lehrnbecher T, Löffler J, Lortholary O, Maertens J, Marchetti O, Meis JF, Pagano L, Ribaud P, Richardson M, Roilides E, Ruhnke M, Sanguinetti M, Sheppard DC, Sinkó J, Skiada A, Vehreschild MJGT, Viscoli C, Cornely OA.","Clin Microbiol Infect. 2018 May;24 Suppl 1:e1-e38. doi: 10.1016/j.cmi.2018.01.002. Epub 2018 Mar 12.","Ullmann AJ","Clin Microbiol Infect","2018","2018/03/17","","","10.1016/j.cmi.2018.01.002"
"30000539","Meprobamate","","2023 Feb 15. Drugs and Lactation Database (LactMed®) [Internet]. Bethesda (MD): National Institute of Child Health and Human Development; 2006–.","","Drugs and Lactation Database (LactMed®)","2006","2023/02/15","","",""
"30000069","Loxapine","","2021 Jan 18. Drugs and Lactation Database (LactMed®) [Internet]. Bethesda (MD): National Institute of Child Health and Human Development; 2006–.","","Drugs and Lactation Database (LactMed®)","2006","2021/01/18","","",""
"30000035","Hydrocortisone","","2024 Apr 15. Drugs and Lactation Database (LactMed®) [Internet]. Bethesda (MD): National Institute of Child Health and Human Development; 2006–.","","Drugs and Lactation Database (LactMed®)","2006","2024/04/15","","",""
"37351327","Laparoscopic uterosacral ligament suspension: a systematic review and meta-analysis of safety and durability","Ronsini C, Pasanisi F, Cianci S, Vastarella MG, Pennacchio M, Torella M, Ercoli A, Colacurci N.","Front Surg. 2023 Jun 7;10:1180060. doi: 10.3389/fsurg.2023.1180060. eCollection 2023.","Ronsini C","Front Surg","2023","2023/06/23","PMC10282652","","10.3389/fsurg.2023.1180060"
"38688428","Exploring paediatric oral suspension development: Challenges, requirements, and formulation advancements","Gaikwad SS, Morales JO, Lande NB, Catalán-Figueroa J, Laddha UD, Kshirsagar SJ.","Int J Pharm. 2024 May 25;657:124169. doi: 10.1016/j.ijpharm.2024.124169. Epub 2024 Apr 28.","Gaikwad SS","Int J Pharm","2024","2024/04/30","","","10.1016/j.ijpharm.2024.124169"
"30684309","Glibenclamide oral suspension: Suitable and effective in patients with neonatal diabetes","Beltrand J, Baptiste A, Busiah K, Bouazza N, Godot C, Boucheron A, Djerada Z, Gozalo C, Berdugo M, Tréluyer JM, Elie C, Polak M; GLID-KIR study group.","Pediatr Diabetes. 2019 May;20(3):246-254. doi: 10.1111/pedi.12823. Epub 2019 Feb 21.","Beltrand J","Pediatr Diabetes","2019","2019/01/27","","","10.1111/pedi.12823"
"34642122","Associations of school night sleep duration and circadian preference with middle school-aged student attendance, tardiness, and suspension","Cook JD, Peppard PE, Blair EE, Tran KM, Hertting MC, Plante DT.","Sleep Health. 2021 Dec;7(6):708-715. doi: 10.1016/j.sleh.2021.08.004. Epub 2021 Oct 9.","Cook JD","Sleep Health","2021","2021/10/13","","","10.1016/j.sleh.2021.08.004"
"34747883","Vaginal mesh hysteropexy: a review","DiCarlo-Meacham A, Mazloomdoost D.","Curr Opin Obstet Gynecol. 2021 Dec 1;33(6):463-468. doi: 10.1097/GCO.0000000000000748.","DiCarlo-Meacham A","Curr Opin Obstet Gynecol","2021","2021/11/08","","","10.1097/GCO.0000000000000748"
"37179512","Population Pharmacokinetics of Posaconazole in Immune-Compromised Children and Assessment of Target Attainment in Invasive Fungal Disease","McCann S, Sinha J, Wilson WS, McKinzie CJ, Garner LM, Gonzalez D.","Clin Pharmacokinet. 2023 Jul;62(7):997-1009. doi: 10.1007/s40262-023-01254-2. Epub 2023 May 14.","McCann S","Clin Pharmacokinet","2023","2023/05/14","PMC10338595","NIHMS1901131","10.1007/s40262-023-01254-2"
