PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31811919","Oral amoxicillin and amoxicillin-clavulanic acid: properties, indications and usage","Huttner A, Bielicki J, Clements MN, Frimodt-Møller N, Muller AE, Paccaud JP, Mouton JW.","Clin Microbiol Infect. 2020 Jul;26(7):871-879. doi: 10.1016/j.cmi.2019.11.028. Epub 2019 Dec 4.","Huttner A","Clin Microbiol Infect","2020","2019/12/08","","","10.1016/j.cmi.2019.11.028"
"36031053","Urinary tract infections in pregnancy","Ansaldi Y, Martinez de Tejada Weber B.","Clin Microbiol Infect. 2023 Oct;29(10):1249-1253. doi: 10.1016/j.cmi.2022.08.015. Epub 2022 Aug 27.","Ansaldi Y","Clin Microbiol Infect","2023","2022/08/28","","","10.1016/j.cmi.2022.08.015"
"23529866","Pharmacokinetics of antibacterial agents in the CSF of children and adolescents","Sullins AK, Abdel-Rahman SM.","Paediatr Drugs. 2013 Apr;15(2):93-117. doi: 10.1007/s40272-013-0017-5.","Sullins AK","Paediatr Drugs","2013","2013/03/27","","","10.1007/s40272-013-0017-5"
"14726904","Antimicrobial treatment guidelines for acute bacterial rhinosinusitis","Anon JB, Jacobs MR, Poole MD, Ambrose PG, Benninger MS, Hadley JA, Craig WA; Sinus And Allergy Health Partnership.","Otolaryngol Head Neck Surg. 2004 Jan;130(1 Suppl):1-45. doi: 10.1016/j.otohns.2003.12.003.","Anon JB","Otolaryngol Head Neck Surg","2004","2004/01/17","PMC7118847","","10.1016/j.otohns.2003.12.003"
"20557952","Evaluation of amoxicillin plasma and tissue levels in pediatric patients undergoing tonsillectomy","Averono G, Vidali M, Olina M, Basile M, Bagnati M, Bellomo G, Aluffi P.","Int J Pediatr Otorhinolaryngol. 2010 Sep;74(9):995-8. doi: 10.1016/j.ijporl.2010.05.023. Epub 2010 Jun 16.","Averono G","Int J Pediatr Otorhinolaryngol","2010","2010/06/19","","","10.1016/j.ijporl.2010.05.023"
"37820258","Doxycycline for the Treatment of Lyme Disease in Young Children","Brown K, Corin S, Handel AS.","Pediatr Infect Dis J. 2023 Dec 1;42(12):e470-e472. doi: 10.1097/INF.0000000000004128. Epub 2023 Oct 5.","Brown K","Pediatr Infect Dis J","2023","2023/10/11","","","10.1097/INF.0000000000004128"
"27080965","Antibiotic overusage and resistance: A cross-sectional survey among pediatric dentists","Konde S, Jairam LS, Peethambar P, Noojady SR, Kumar NC.","J Indian Soc Pedod Prev Dent. 2016 Apr-Jun;34(2):145-51. doi: 10.4103/0970-4388.180444.","Konde S","J Indian Soc Pedod Prev Dent","2016","2016/04/16","","","10.4103/0970-4388.180444"
"28894828","The role of antibiotics in pediatric chronic rhinosinusitis","Brook I.","Laryngoscope Investig Otolaryngol. 2017 Mar 10;2(3):104-108. doi: 10.1002/lio2.67. eCollection 2017 Jun.","Brook I","Laryngoscope Investig Otolaryngol","2017","2017/09/13","PMC5527363","","10.1002/lio2.67"
"35558354","Taste Perceptions of Common Pediatric Antibiotic Suspensions and Associated Prescribing Patterns in Medical Residents","Soares N, Mitchell R, McGoff T, Bailey T, Wellman GS.","J Pediatr Pharmacol Ther. 2022;27(4):316-323. doi: 10.5863/1551-6776-27.4.316. Epub 2022 May 9.","Soares N","J Pediatr Pharmacol Ther","2022","2022/05/13","PMC9088435","","10.5863/1551-6776-27.4.316"
"20152073","The infections of the upper respiratory tract in children","Bonsignori F, Chiappini E, De Martino M.","Int J Immunopathol Pharmacol. 2010 Jan-Mar;23(1 Suppl):16-9.","Bonsignori F","Int J Immunopathol Pharmacol","2010","2010/02/16","","",""
"14632102","Acute streptococcal pharyngitis in pediatric medicine: current issues in diagnosis and management","Shulman ST.","Paediatr Drugs. 2003;5 Suppl 1:13-23.","Shulman ST","Paediatr Drugs","2003","2003/11/25","","",""
"33419114","From Evidence to Clinical Guidelines in Antibiotic Treatment in Acute Otitis Media in Children","Spoială EL, Stanciu GD, Bild V, Ababei DC, Gavrilovici C.","Antibiotics (Basel). 2021 Jan 6;10(1):52. doi: 10.3390/antibiotics10010052.","Spoială EL","Antibiotics (Basel)","2021","2021/01/09","PMC7825459","","10.3390/antibiotics10010052"
"28230273","Comparison of Pathogen Eradication Rate and Safety of Anti-Bacterial Agents for Bronchitis: A Network Meta-Analysis","Wang J, Xu H, Wang D, Li M.","J Cell Biochem. 2017 Oct;118(10):3171-3183. doi: 10.1002/jcb.25951. Epub 2017 Jun 16.","Wang J","J Cell Biochem","2017","2017/02/24","","","10.1002/jcb.25951"
"35709220","Point-prevalence survey of antibiotic use at three public referral hospitals in Kenya","Omulo S, Oluka M, Achieng L, Osoro E, Kinuthia R, Guantai A, Opanga SA, Ongayo M, Ndegwa L, Verani JR, Wesangula E, Nyakiba J, Makori J, Sugut W, Kwobah C, Osuka H, Njenga MK, Call DR, Palmer GH, VanderEnde D, Luvsansharav UO.","PLoS One. 2022 Jun 16;17(6):e0270048. doi: 10.1371/journal.pone.0270048. eCollection 2022.","Omulo S","PLoS One","2022","2022/06/16","PMC9202938","","10.1371/journal.pone.0270048"
"37076936","Not recommended fixed-dose antibiotic combinations in low- and middle-income countries - the example of Tanzania","Vliegenthart-Jongbloed K, Jacobs J.","Antimicrob Resist Infect Control. 2023 Apr 19;12(1):37. doi: 10.1186/s13756-023-01238-8.","Vliegenthart-Jongbloed K","Antimicrob Resist Infect Control","2023","2023/04/20","PMC10116708","","10.1186/s13756-023-01238-8"
"8188841","Pediatric Lyme arthritis: clinical spectrum and outcome","Rose CD, Fawcett PT, Eppes SC, Klein JD, Gibney K, Doughty RA.","J Pediatr Orthop. 1994 Mar-Apr;14(2):238-41. doi: 10.1097/01241398-199403000-00020.","Rose CD","J Pediatr Orthop","1994","1994/03/01","","","10.1097/01241398-199403000-00020"
"32823360","[Guidelines for the Management of Community Acquired Pneumonia in Children and Adolescents (Pediatric Community Acquired Pneumonia, pCAP) - Issued under the Responsibility of the German Society for Pediatric Infectious Diseases (DGPI) and the German Society for Pediatric Pulmonology (GPP)]","Rose MA, Barker M, Liese J, Adams O, Ankermann T, Baumann U, Brinkmann F, Bruns R, Dahlheim M, Ewig S, Forster J, Hofmann G, Kemen C, Lück C, Nadal D, Nüßlein T, Regamey N, Riedler J, Schmidt S, Schwerk N, Seidenberg J, Tenenbaum T, Trapp S, van der Linden M.","Pneumologie. 2020 Aug;74(8):515-544. doi: 10.1055/a-1139-5132. Epub 2020 Aug 21.","Rose MA","Pneumologie","2020","2020/08/22","","","10.1055/a-1139-5132"
"14608265","Acute otitis media disease management","Pichichero ME, Casey JR.","Minerva Pediatr. 2003 Oct;55(5):415-38.","Pichichero ME","Minerva Pediatr","2003","2003/11/11","","",""
"24586287","Systematic review of evidence-based guidelines on medication therapy for upper respiratory tract infection in children with AGREE instrument","Zeng L, Zhang L, Hu Z, Ehle EA, Chen Y, Liu L, Chen M.","PLoS One. 2014 Feb 20;9(2):e87711. doi: 10.1371/journal.pone.0087711. eCollection 2014.","Zeng L","PLoS One","2014","2014/03/04","PMC3930557","","10.1371/journal.pone.0087711"
"36919441","Parental Perceptions of Penicillin Allergy Risk Stratification and Delabeling","Antoon JW, Grijalva CG, Carroll AR, Johnson J, Stassun J, Bonnet K, Schlundt DG, Williams DJ.","Hosp Pediatr. 2023 Apr 1;13(4):300-308. doi: 10.1542/hpeds.2022-006737.","Antoon JW","Hosp Pediatr","2023","2023/03/15","PMC10071421","NIHMS1884292","10.1542/hpeds.2022-006737"
"18574657","Five-day oral cefditoren pivoxil versus 10-day oral amoxicillin for pediatric group A streptococcal pharyngotonsillitis","Ozaki T, Nishimura N, Suzuki M, Narita A, Watanabe N, Ahn J, Koyama N, Ushida H, Nakane K, Yasuda N, Funahashi K.","J Infect Chemother. 2008 Jun;14(3):213-8. doi: 10.1007/s10156-008-0602-7. Epub 2008 Jun 24.","Ozaki T","J Infect Chemother","2008","2008/06/25","","","10.1007/s10156-008-0602-7"
"16507381","A pooled analysis of seven randomized crossover studies of the palatability of cefdinir oral suspension versus amoxicillin/clavulanate potassium, cefprozil, azithromycin, and amoxicillin in children aged 4 to 8 years","Holas C, Chiu YL, Notario G, Kapral D.","Clin Ther. 2005 Dec;27(12):1950-60. doi: 10.1016/j.clinthera.2005.11.017.","Holas C","Clin Ther","2005","2006/03/02","","","10.1016/j.clinthera.2005.11.017"
"12765486","Diagnosis, treatment, and prevention of Lyme disease in children","Eppes SC.","Paediatr Drugs. 2003;5(6):363-72. doi: 10.2165/00128072-200305060-00002.","Eppes SC","Paediatr Drugs","2003","2003/05/27","","","10.2165/00128072-200305060-00002"
"32675908","Penicillin - getting prescribing right for children","Mostaghim M, McMullan BJ, Rowles G.","Aust Prescr. 2020 Jun;43(3):81-84. doi: 10.18773/austprescr.2020.023. Epub 2020 Jun 2.","Mostaghim M","Aust Prescr","2020","2020/07/18","PMC7358052","","10.18773/austprescr.2020.023"
"11144401","Comparison of the palatability of the oral suspension of cefdinir vs. amoxicillin/clavulanate potassium, cefprozil and azithromycin in pediatric patients","Powers JL, Gooch WM 3rd, Oddo LP.","Pediatr Infect Dis J. 2000 Dec;19(12 Suppl):S174-80. doi: 10.1097/00006454-200012001-00008.","Powers JL","Pediatr Infect Dis J","2000","2001/01/06","","","10.1097/00006454-200012001-00008"
