PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25313065","Sulforaphane treatment of autism spectrum disorder (ASD)","Singh K, Connors SL, Macklin EA, Smith KD, Fahey JW, Talalay P, Zimmerman AW.","Proc Natl Acad Sci U S A. 2014 Oct 28;111(43):15550-5. doi: 10.1073/pnas.1416940111. Epub 2014 Oct 13.","Singh K","Proc Natl Acad Sci U S A","2014","2014/10/15","PMC4217462","","10.1073/pnas.1416940111"
"32093703","Expert panel consensus recommendations for diagnosis and treatment of secondary osteoporosis in children","Galindo-Zavala R, Bou-Torrent R, Magallares-López B, Mir-Perelló C, Palmou-Fontana N, Sevilla-Pérez B, Medrano-San Ildefonso M, González-Fernández MI, Román-Pascual A, Alcañiz-Rodríguez P, Nieto-Gonzalez JC, López-Corbeto M, Graña-Gil J.","Pediatr Rheumatol Online J. 2020 Feb 24;18(1):20. doi: 10.1186/s12969-020-0411-9.","Galindo-Zavala R","Pediatr Rheumatol Online J","2020","2020/02/26","PMC7041118","","10.1186/s12969-020-0411-9"
"31031101","Quantifying blood-brain barrier leakage in small vessel disease: Review and consensus recommendations","Thrippleton MJ, Backes WH, Sourbron S, Ingrisch M, van Osch MJP, Dichgans M, Fazekas F, Ropele S, Frayne R, van Oostenbrugge RJ, Smith EE, Wardlaw JM.","Alzheimers Dement. 2019 Jun;15(6):840-858. doi: 10.1016/j.jalz.2019.01.013. Epub 2019 Apr 25.","Thrippleton MJ","Alzheimers Dement","2019","2019/04/30","PMC6565805","","10.1016/j.jalz.2019.01.013"
"23707515","Cellular and molecular players in adipose tissue inflammation in the development of obesity-induced insulin resistance","Lee BC, Lee J.","Biochim Biophys Acta. 2014 Mar;1842(3):446-62. doi: 10.1016/j.bbadis.2013.05.017. Epub 2013 May 22.","Lee BC","Biochim Biophys Acta","2014","2013/05/28","PMC3800253","NIHMS484247","10.1016/j.bbadis.2013.05.017"
"36457846","IGF2BP3 is an essential N(6)-methyladenosine biotarget for suppressing ferroptosis in lung adenocarcinoma cells","Xu X, Cui J, Wang H, Ma L, Zhang X, Guo W, Xue X, Wang Y, Qiu S, Tian X, Miao Y, Wu M, Yu Y, Xu Y, Wang J, Qiao Y.","Mater Today Bio. 2022 Nov 24;17:100503. doi: 10.1016/j.mtbio.2022.100503. eCollection 2022 Dec 15.","Xu X","Mater Today Bio","2022","2022/12/02","PMC9707255","","10.1016/j.mtbio.2022.100503"
"9377514","Renal cystic diseases","Thomsen HS, Levine E, Meilstrup JW, Van Slyke MA, Edgar KA, Barth JC, Hartman DS.","Eur Radiol. 1997;7(8):1267-75. doi: 10.1007/s003300050288.","Thomsen HS","Eur Radiol","1997","1997/01/01","","","10.1007/s003300050288"
"36210076","New markers in metabolic syndrome","Son DH, Ha HS, Park HM, Kim HY, Lee YJ.","Adv Clin Chem. 2022;110:37-71. doi: 10.1016/bs.acc.2022.06.002. Epub 2022 Jul 25.","Son DH","Adv Clin Chem","2022","2022/10/09","","","10.1016/bs.acc.2022.06.002"
"3317882","The political abuse of medicine and the challenge of opposing it","Zwi AB.","Soc Sci Med. 1987;25(6):649-57. doi: 10.1016/0277-9536(87)90092-x.","Zwi AB","Soc Sci Med","1987","1987/01/01","","","10.1016/0277-9536(87)90092-x"
"28060365","Newly described salivary gland tumors","Skalova A, Michal M, Simpson RH.","Mod Pathol. 2017 Jan;30(s1):S27-S43. doi: 10.1038/modpathol.2016.167.","Skalova A","Mod Pathol","2017","2017/01/07","","","10.1038/modpathol.2016.167"
"36162702","LCK inhibition downregulates YAP activity and is therapeutic in patient-derived models of cholangiocarcinoma","Conboy CB, Yonkus JA, Buckarma EH, Mun DG, Werneburg NW, Watkins RD, Alva-Ruiz R, Tomlinson JL, Guo Y, Wang J, O'Brien D, McCabe CE, Jessen E, Graham RP, Buijsman RC, Vu D, de Man J, Ilyas SI, Truty MJ, Borad M, Pandey A, Gores GJ, Smoot RL.","J Hepatol. 2023 Jan;78(1):142-152. doi: 10.1016/j.jhep.2022.09.014. Epub 2022 Sep 24.","Conboy CB","J Hepatol","2023","2022/09/26","PMC11410293","NIHMS2018255","10.1016/j.jhep.2022.09.014"
