PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36126781","Saffron essential oil ameliorates CUMS-induced depression-like behavior in mice via the MAPK-CREB1-BDNF signaling pathway","Chen Z, Gu J, Lin S, Xu Z, Xu H, Zhao J, Feng P, Tao Y, Chen S, Wang P.","J Ethnopharmacol. 2023 Jan 10;300:115719. doi: 10.1016/j.jep.2022.115719. Epub 2022 Sep 17.","Chen Z","J Ethnopharmacol","2023","2022/09/20","","","10.1016/j.jep.2022.115719"
"15035653","Flavor and taste of lansoprazole strawberry-flavored delayed-release oral suspension preferred over ranitidine peppermint-flavored oral syrup: in children aged between 5-11 years","Tolia V, Johnston G, Stolle J, Lee C.","Paediatr Drugs. 2004;6(2):127-31. doi: 10.2165/00148581-200406020-00006.","Tolia V","Paediatr Drugs","2004","2004/03/24","","","10.2165/00148581-200406020-00006"
"38136653","Resilience and Vulnerability to Stress-Induced Anhedonia: Unveiling Brain Gene Expression and Mitochondrial Dynamics in a Mouse Chronic Stress Depression Model","Strekalova T, Svirin E, Gorlova A, Sheveleva E, Burova A, Khairetdinova A, Sitdikova K, Zakharova E, Dudchenko AM, Lyundup A, Morozov S.","Biomolecules. 2023 Dec 12;13(12):1782. doi: 10.3390/biom13121782.","Strekalova T","Biomolecules","2023","2023/12/23","PMC10741640","","10.3390/biom13121782"
"38331122","Antidepressant effects of Parishin C in chronic social defeat stress-induced depressive mice","Jiang N, Yao C, Zhang Y, Chen Y, Chen F, Luo Y, Choudhary MI, Pan R, Liu X.","J Ethnopharmacol. 2024 May 10;325:117891. doi: 10.1016/j.jep.2024.117891. Epub 2024 Feb 7.","Jiang N","J Ethnopharmacol","2024","2024/02/08","","","10.1016/j.jep.2024.117891"
"38097092","Multiple integrated social stress induces depressive-like behavioral and neural adaptations in female C57BL/6J mice","Zhai X, Ai L, Chen D, Zhou D, Han Y, Ji R, Hu M, Wang Q, Zhang M, Wang Y, Zhang C, Yang JX, Hu A, Liu H, Cao JL, Zhang H.","Neurobiol Dis. 2024 Jan;190:106374. doi: 10.1016/j.nbd.2023.106374. Epub 2023 Dec 13.","Zhai X","Neurobiol Dis","2024","2023/12/14","","","10.1016/j.nbd.2023.106374"
"31156945","A stability study of amphotericin B, colistin and tobramycin in a hydrophilic suspension commonly used for selective decontamination of the digestive tract by HPLC and in vitro potency measurements","Pfeifer C, Noll S, Gerecke H, Fassauer G, Jira T, Remane Y, Vogel J, Frontini R, Reinhardt R.","Eur J Hosp Pharm. 2017 Jul;24(4):235-241. doi: 10.1136/ejhpharm-2016-000931. Epub 2016 Aug 5.","Pfeifer C","Eur J Hosp Pharm","2017","2019/06/04","PMC6451449","","10.1136/ejhpharm-2016-000931"
"3691011","Palatability and relative bioavailability of an extemporaneous carbamazepine oral suspension","Bloomer D, Dupuis LL, MacGregor D, Soldin SJ.","Clin Pharm. 1987 Aug;6(8):646-9.","Bloomer D","Clin Pharm","1987","1987/08/01","","",""
"38010856","Corydalis yanhusuo Polysaccharides Ameliorate Chronic Stress-Induced Depression in Mice through Gut Microbiota-Derived Short-Chain Fatty Acid Activation of 5-Hydroxytryptamine Signaling","Fang Y, Li Y, Liao X, Deng J, Wang Q, Liang J, Yan B.","J Med Food. 2023 Dec;26(12):890-901. doi: 10.1089/jmf.2023.K.0050. Epub 2023 Nov 21.","Fang Y","J Med Food","2023","2023/11/27","","","10.1089/jmf.2023.K.0050"
"34921571","The Anti-Depressive Effects of Ultra-High Static Magnetic Field","Lv Y, Fan Y, Tian X, Yu B, Song C, Feng C, Zhang L, Ji X, Zablotskii V, Zhang X.","J Magn Reson Imaging. 2022 Aug;56(2):354-365. doi: 10.1002/jmri.28035. Epub 2021 Dec 18.","Lv Y","J Magn Reson Imaging","2022","2021/12/18","","","10.1002/jmri.28035"
"38173328","The Effect of Inhibition of Perisynaptic Astrocyte Glycogen Utilization on Depression-Like Behavior","Erk EE, Demir BN, Kurşun HK, Özkan MY, Dalkara T, Koçak EE.","Turk Psikiyatri Derg. 2023 Winter;34(4):272-281. doi: 10.5080/u27208.","Erk EE","Turk Psikiyatri Derg","2023","2024/01/04","PMC10786353","","10.5080/u27208"
