PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26677512","Hereditary Fructose Intolerance","Gaughan S, Ayres L, Baker PR II.","2015 Dec 17 [updated 2021 Feb 18]. In: Adam MP, Feldman J, Mirzaa GM, Pagon RA, Wallace SE, Amemiya A, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993–2024.","Gaughan S","GeneReviews(®)","1993","2021/02/18","","",""
"36471989","[Key techniques for granulation and flavor masking of innovative Chinese medicinal preparations for children: a review]","Wu CH, Yang YJ, Zhu MM, Yang B, Liu J, Zhao J, Jia XB, Feng L.","Zhongguo Zhong Yao Za Zhi. 2022 Nov;47(21):5708-5716. doi: 10.19540/j.cnki.cjcmm.20220610.602.","Wu CH","Zhongguo Zhong Yao Za Zhi","2022","2022/12/06","","","10.19540/j.cnki.cjcmm.20220610.602"
"15035653","Flavor and taste of lansoprazole strawberry-flavored delayed-release oral suspension preferred over ranitidine peppermint-flavored oral syrup: in children aged between 5-11 years","Tolia V, Johnston G, Stolle J, Lee C.","Paediatr Drugs. 2004;6(2):127-31. doi: 10.2165/00148581-200406020-00006.","Tolia V","Paediatr Drugs","2004","2004/03/24","","","10.2165/00148581-200406020-00006"
"31611144","Organoleptic excipients used in pediatric antibiotics","Nakama KA, Dos Santos RB, Serpa P, Maciel TR, Haas SE.","Arch Pediatr. 2019 Oct;26(7):431-436. doi: 10.1016/j.arcped.2019.09.008. Epub 2019 Oct 12.","Nakama KA","Arch Pediatr","2019","2019/10/16","","","10.1016/j.arcped.2019.09.008"
"36634740","Orally disintegrating drug carriers for paediatric pharmacotherapy","Kean EA, Adeleke OA.","Eur J Pharm Sci. 2023 Mar 1;182:106377. doi: 10.1016/j.ejps.2023.106377. Epub 2023 Jan 10.","Kean EA","Eur J Pharm Sci","2023","2023/01/12","","","10.1016/j.ejps.2023.106377"
"38345529","Two-Part Phase 1 Study to Evaluate the Taste Profile of Novel Belumosudil Oral Suspensions and Assess the Relative Bioavailability and Food Effect of the Selected Belumosudil Oral Suspension Compared With Oral Tablet Reference in Healthy Male Participants","Schueller O, Regev G, Singh N, Willson A, Beville M, Kanji N, Lohmer L, Patel J.","Clin Pharmacol Drug Dev. 2024 May;13(5):491-498. doi: 10.1002/cpdd.1378. Epub 2024 Feb 12.","Schueller O","Clin Pharmacol Drug Dev","2024","2024/02/12","","","10.1002/cpdd.1378"
"39412306","Physicochemical and microbiological stability of 40 mg/mL amiodarone hydrochloride oral suspension","Cavelier M, Gondé H, Costa D, Lamoureux F, Pereira T, Varin R, Hervouët C.","Am J Health Syst Pharm. 2024 Oct 16:zxae299. doi: 10.1093/ajhp/zxae299. Online ahead of print.","Cavelier M","Am J Health Syst Pharm","2024","2024/10/16","","","10.1093/ajhp/zxae299"
"3691011","Palatability and relative bioavailability of an extemporaneous carbamazepine oral suspension","Bloomer D, Dupuis LL, MacGregor D, Soldin SJ.","Clin Pharm. 1987 Aug;6(8):646-9.","Bloomer D","Clin Pharm","1987","1987/08/01","","",""
"36528009","The potential of intravenous topiramate for the treatment of status epilepticus","Löscher W, Trinka E.","Epilepsy Behav. 2023 Jan;138:109032. doi: 10.1016/j.yebeh.2022.109032. Epub 2022 Dec 15.","Löscher W","Epilepsy Behav","2023","2022/12/17","","","10.1016/j.yebeh.2022.109032"
"38010856","Corydalis yanhusuo Polysaccharides Ameliorate Chronic Stress-Induced Depression in Mice through Gut Microbiota-Derived Short-Chain Fatty Acid Activation of 5-Hydroxytryptamine Signaling","Fang Y, Li Y, Liao X, Deng J, Wang Q, Liang J, Yan B.","J Med Food. 2023 Dec;26(12):890-901. doi: 10.1089/jmf.2023.K.0050. Epub 2023 Nov 21.","Fang Y","J Med Food","2023","2023/11/27","","","10.1089/jmf.2023.K.0050"
"17090745","Stability and viscosity of a flavored omeprazole oral suspension for pediatric use","Burnett JE, Balkin ER.","Am J Health Syst Pharm. 2006 Nov 15;63(22):2240-7. doi: 10.2146/ajhp060026.","Burnett JE","Am J Health Syst Pharm","2006","2006/11/09","","","10.2146/ajhp060026"
