PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32491315","Genetics, X-Linked Inheritance","Basta M, Pandya AM.","2023 May 1. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2024 Jan–.","Basta MPandya AM","StatPearls","2024","2023/05/01","","",""
"29509822","Depigmented plaques on vulva","Abubucker S, Cohen B.","J Fam Pract. 2018 Mar;67(3):171-174.","Abubucker S","J Fam Pract","2018","2018/03/07","","",""
"29038774","Interaction of turmeric (Curcuma longa L.) with beneficial microbes: a review","Kumar A, Singh AK, Kaushik MS, Mishra SK, Raj P, Singh PK, Pandey KD.","3 Biotech. 2017 Dec;7(6):357. doi: 10.1007/s13205-017-0971-7. Epub 2017 Oct 3.","Kumar A","3 Biotech","2017","2017/10/18","PMC5624808","","10.1007/s13205-017-0971-7"
"25998217","E-cigarettes: Considerations for the otolaryngologist","Biyani S, Derkay CS.","Int J Pediatr Otorhinolaryngol. 2015 Aug;79(8):1180-3. doi: 10.1016/j.ijporl.2015.04.032. Epub 2015 Apr 28.","Biyani S","Int J Pediatr Otorhinolaryngol","2015","2015/05/23","","","10.1016/j.ijporl.2015.04.032"
"2264529","Perinatal grief and mourning","Menke JA, McClead RE.","Adv Pediatr. 1990;37:261-83.","Menke JA","Adv Pediatr","1990","1990/01/01","","",""
"35628447","Genipin, an Inhibitor of UCP2 as a Promising New Anticancer Agent: A Review of the Literature","Cho YS.","Int J Mol Sci. 2022 May 18;23(10):5637. doi: 10.3390/ijms23105637.","Cho YS","Int J Mol Sci","2022","2022/05/28","PMC9147402","","10.3390/ijms23105637"
"37537722","A review of therapeutic impacts of saffron (Crocus sativus L.) and its constituents","Anaeigoudari F, Anaeigoudari A, Kheirkhah-Vakilabad A.","Physiol Rep. 2023 Aug;11(15):e15785. doi: 10.14814/phy2.15785.","Anaeigoudari F","Physiol Rep","2023","2023/08/03","PMC10400758","","10.14814/phy2.15785"
"24246346","The Diagnostic Utility of Color Doppler Ultrasonography, Tc-99m Pertechnetate Uptake, and TSH-Receptor Antibody for Differential Diagnosis of Graves' Disease and Silent Thyroiditis: A Comparative Study","Zuhur SS, Ozel A, Kuzu I, Erol RS, Ozcan ND, Basat O, Yenici FU, Altuntas Y.","Endocr Pract. 2014 Apr;20(4):310-9. doi: 10.4158/EP13300.OR.","Zuhur SS","Endocr Pract","2014","2013/11/20","","","10.4158/EP13300.OR"
"26063662","Mutation of ATF6 causes autosomal recessive achromatopsia","Ansar M, Santos-Cortez RL, Saqib MA, Zulfiqar F, Lee K, Ashraf NM, Ullah E, Wang X, Sajid S, Khan FS, Amin-ud-Din M; University of Washington Center for Mendelian Genomics; Smith JD, Shendure J, Bamshad MJ, Nickerson DA, Hameed A, Riazuddin S, Ahmed ZM, Ahmad W, Leal SM.","Hum Genet. 2015 Sep;134(9):941-50. doi: 10.1007/s00439-015-1571-4. Epub 2015 Jun 11.","Ansar M","Hum Genet","2015","2015/06/12","PMC4529463","","10.1007/s00439-015-1571-4"
"38350417","Evaluation of executive functions in children and adolescents with obesity","Üney E, Baykara HB, Avcil S.","Appl Neuropsychol Child. 2024 Feb 13:1-9. doi: 10.1080/21622965.2024.2312442. Online ahead of print.","Üney E","Appl Neuropsychol Child","2024","2024/02/13","","","10.1080/21622965.2024.2312442"
