PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25250996","Impetigo: diagnosis and treatment","Hartman-Adams H, Banvard C, Juckett G.","Am Fam Physician. 2014 Aug 15;90(4):229-35.","Hartman-Adams H","Am Fam Physician","2014","2014/09/25","","",""
"37490085","Identifying Children Likely to Benefit From Antibiotics for Acute Sinusitis: A Randomized Clinical Trial","Shaikh N, Hoberman A, Shope TR, Jeong JH, Kurs-Lasky M, Martin JM, Bhatnagar S, Muniz GB, Block SL, Andrasko M, Lee MC, Rajakumar K, Wald ER.","JAMA. 2023 Jul 25;330(4):349-358. doi: 10.1001/jama.2023.10854.","Shaikh N","JAMA","2023","2023/07/25","PMC10370259","","10.1001/jama.2023.10854"
"14726904","Antimicrobial treatment guidelines for acute bacterial rhinosinusitis","Anon JB, Jacobs MR, Poole MD, Ambrose PG, Benninger MS, Hadley JA, Craig WA; Sinus And Allergy Health Partnership.","Otolaryngol Head Neck Surg. 2004 Jan;130(1 Suppl):1-45. doi: 10.1016/j.otohns.2003.12.003.","Anon JB","Otolaryngol Head Neck Surg","2004","2004/01/17","PMC7118847","","10.1016/j.otohns.2003.12.003"
"35884010","The Effects of Different Pediatric Drugs and Brushing on the Color Stability of Esthetic Restorative Materials Used in Pediatric Dentistry: An In Vitro Study","Almutairi M, Moussa I, Alsaeri N, Alqahtani A, Alsulaiman S, Alhajri M.","Children (Basel). 2022 Jul 10;9(7):1026. doi: 10.3390/children9071026.","Almutairi M","Children (Basel)","2022","2022/07/27","PMC9315829","","10.3390/children9071026"
"17456921","Blastomycosis-like pyoderma","Sawalka SS, Phiske MM, Jerajani HR.","Indian J Dermatol Venereol Leprol. 2007 Mar-Apr;73(2):117-9. doi: 10.4103/0378-6323.31900.","Sawalka SS","Indian J Dermatol Venereol Leprol","2007","2007/04/26","","","10.4103/0378-6323.31900"
"38117645","The effect of pediatric drugs on color stability of bulk-fill and conventional composite resins","Hekmatfar S, Fahim Z, Davan M, Jafari K.","Gen Dent. 2024 Jan-Feb;72(1):72-77.","Hekmatfar S","Gen Dent","2024","2023/12/20","","",""
"30472662","Physical compatibility of pentoxifylline and intravenous medications","Senarathna SMDKG, Strunk T, Petrovski M, Batty KT.","Arch Dis Child. 2019 Mar;104(3):292-295. doi: 10.1136/archdischild-2018-315376. Epub 2018 Nov 24.","Senarathna SMDKG","Arch Dis Child","2019","2018/11/26","","","10.1136/archdischild-2018-315376"
"31249178","Effect of different pediatric drug formulations on color stability of composite, zirconia-reinforced glass ionomer cement, and glass ionomer cement","Kale YJ, Nalwade AV, Dahake PT, Dadpe MV, Kendre SB.","J Indian Soc Pedod Prev Dent. 2019 Apr-Jun;37(2):151-156. doi: 10.4103/JISPPD.JISPPD_280_18.","Kale YJ","J Indian Soc Pedod Prev Dent","2019","2019/06/29","","","10.4103/JISPPD.JISPPD_280_18"
"37736952","Osteomyelitis and Thrombosis in a Newborn with Group A Streptococcus Infection","Mitsiakos G, Gialamprinou D, Tsakalidis C, Babatseva E, Lithoxopoulou M, Diamanti E.","Prague Med Rep. 2023;124(3):293-300. doi: 10.14712/23362936.2023.23.","Mitsiakos G","Prague Med Rep","2023","2023/09/22","","","10.14712/23362936.2023.23"
"27147292","Stability and Compatibility of Antibiotics in Peritoneal Dialysis Solutions Applied to Automated Peritoneal Dialysis in The Pediatric Population","Deslandes G, Grégoire M, Bouquié R, Le Marec A, Allard S, Dailly E, Pineau A, Allain-Launay E, Jolliet P, Roussey G, Navas D.","Perit Dial Int. 2016 11-12;36(6):676-679. doi: 10.3747/pdi.2015.00018. Epub 2016 May 4.","Deslandes G","Perit Dial Int","2016","2016/05/06","PMC5174876","","10.3747/pdi.2015.00018"
