PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36630142","Association Between Patient Perception of Surgeons and Color of Scrub Attire","Hribar CA, Chandran A, Piazza M, Quinsey CS.","JAMA Surg. 2023 Apr 1;158(4):421-423. doi: 10.1001/jamasurg.2022.5837.","Hribar CA","JAMA Surg","2023","2023/01/11","PMC9857704","","10.1001/jamasurg.2022.5837"
"31181242","Randomized clinical trial on indirect resin composite and ceramic laminate veneers: Up to 10-year findings","Gresnigt MMM, Cune MS, Jansen K, van der Made SAM, Özcan M.","J Dent. 2019 Jul;86:102-109. doi: 10.1016/j.jdent.2019.06.001. Epub 2019 Jun 7.","Gresnigt MMM","J Dent","2019","2019/06/11","","","10.1016/j.jdent.2019.06.001"
"36709052","Surface Optics and Color Effects of Liquid Metal Materials","Duan L, Zhou T, Zhang Y, Zhao J, Zheng H, Zi B, Zhang J, Li Q, Liu J, Liu Q.","Adv Mater. 2023 Jun;35(26):e2210515. doi: 10.1002/adma.202210515. Epub 2023 May 24.","Duan L","Adv Mater","2023","2023/01/28","","","10.1002/adma.202210515"
"31757502","Age-Related Macular Degeneration Preferred Practice Pattern®","Flaxel CJ, Adelman RA, Bailey ST, Fawzi A, Lim JI, Vemulakonda GA, Ying GS.","Ophthalmology. 2020 Jan;127(1):P1-P65. doi: 10.1016/j.ophtha.2019.09.024. Epub 2019 Sep 25.","Flaxel CJ","Ophthalmology","2020","2019/11/24","","","10.1016/j.ophtha.2019.09.024"
"34965979","Biased Orientation and Color Tuning of the Human Visual Gamma Rhythm","Li Y, Bosking W, Beauchamp MS, Sheth SA, Yoshor D, Bartoli E, Foster BL.","J Neurosci. 2022 Feb 9;42(6):1054-1067. doi: 10.1523/JNEUROSCI.1085-21.2021. Epub 2021 Dec 28.","Li Y","J Neurosci","2022","2021/12/30","PMC8824502","","10.1523/JNEUROSCI.1085-21.2021"
"33512101","Environnement réconfortant et respect de l’intimité. L’organisation du cabinet médical pour la consultation gynécologique","Nguyen NK, Bendahmane L, Martin MJ, Tilly A, Bayen S, Messaadi N.","Sante Publique. 2020 July-August;32(4):347-358. doi: 10.3917/spub.204.0347.","Nguyen NK","Sante Publique","2020","2021/01/29","","","10.3917/spub.204.0347"
"32544142","Comparison Between a Color-only Method and a Food and Drug Administration-approved Validation Method for a Pediatric Color-coded Syringe Using Midazolam: A Randomized Crossover Trial","Howard CM, Jeffers KL, Arana AA, Montez D, Rahm SJ.","Pediatr Emerg Care. 2022 Jan 1;38(1):17-21. doi: 10.1097/PEC.0000000000002156.","Howard CM","Pediatr Emerg Care","2022","2020/06/17","","","10.1097/PEC.0000000000002156"
"33638578","Effects of sintering time on translucency and color of translucent zirconia ceramics","Durkan R, Şimşek H, Deste Gökay G, Yilmaz B.","J Esthet Restor Dent. 2021 Jun;33(4):654-659. doi: 10.1111/jerd.12723. Epub 2021 Feb 27.","Durkan R","J Esthet Restor Dent","2021","2021/02/27","","","10.1111/jerd.12723"
"32392284","Color ensembles: Sampling and averaging spatial hue distributions","Virtanen LS, Olkkonen M, Saarela TP.","J Vis. 2020 May 11;20(5):1. doi: 10.1167/jov.20.5.1.","Virtanen LS","J Vis","2020","2020/05/12","PMC7409613","","10.1167/jov.20.5.1"
"26564671","Military Research ColorDx and Printed Color Vision Tests","Almustanyir A, Hovis JK.","Aerosp Med Hum Perform. 2015 Oct;86(10):852-9. doi: 10.3357/AMHP.4326.2015.","Almustanyir A","Aerosp Med Hum Perform","2015","2015/11/14","","","10.3357/AMHP.4326.2015"
"39451058","Color perception and its relation to dental anxiety in children","Maganur PC, Vishwanathaiah S, Ali Quadri MF, Alsabi M, Modarba W, Aqeel W, Rawi NA, Uthman A, Reda R, Jafer M, Testarelli L, Patil S.","Dent Med Probl. 2024 Sep-Oct;61(5):671-677. doi: 10.17219/dmp/145896.","Maganur PC","Dent Med Probl","2024","2024/10/25","","","10.17219/dmp/145896"
