PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35940785","Flavor of fava bean (Vicia faba L.) ingredients: Effect of processing and application conditions on odor-perception and headspace volatile chemistry","Sharan S, Zanghelini G, Pernin A, Descharles N, Zotzel J, Bonerz D, Aschoff J, Maillard MN, Saint-Eve A.","Food Res Int. 2022 Sep;159:111582. doi: 10.1016/j.foodres.2022.111582. Epub 2022 Jun 28.","Sharan S","Food Res Int","2022","2022/08/08","","","10.1016/j.foodres.2022.111582"
"32247441","Health issues and technological aspects of plant-based alternative milk","Silva ARA, Silva MMN, Ribeiro BD.","Food Res Int. 2020 May;131:108972. doi: 10.1016/j.foodres.2019.108972. Epub 2020 Jan 7.","Silva ARA","Food Res Int","2020","2020/04/06","","","10.1016/j.foodres.2019.108972"
"3728485","Formulation and stability of diazepam suspension compounded from tablets","Strom JG Jr, Kalu AU.","Am J Hosp Pharm. 1986 Jun;43(6):1489-91.","Strom JG Jr","Am J Hosp Pharm","1986","1986/06/01","","",""
"36845480","Non-beany flavor soymilk fermented by lactic acid bacteria: Characterization, stability, antioxidant capacity and in vitro digestion","Huo C, Yang X, Li L.","Food Chem X. 2023 Jan 16;17:100578. doi: 10.1016/j.fochx.2023.100578. eCollection 2023 Mar 30.","Huo C","Food Chem X","2023","2023/02/27","PMC9944549","","10.1016/j.fochx.2023.100578"
"39412306","Physicochemical and microbiological stability of 40 mg/mL amiodarone hydrochloride oral suspension","Cavelier M, Gondé H, Costa D, Lamoureux F, Pereira T, Varin R, Hervouët C.","Am J Health Syst Pharm. 2024 Oct 16:zxae299. doi: 10.1093/ajhp/zxae299. Online ahead of print.","Cavelier M","Am J Health Syst Pharm","2024","2024/10/16","","","10.1093/ajhp/zxae299"
"31315084","Extemporaneous Indomethacin Oral Suspension Prepared from Injectable Ampules for Therapy in Premature Infants and Pediatric Patients","Lafuente Y, García MC, Jiminez-Kairuz A.","Int J Pharm Compd. 2019 Jul-Aug;23(4):324-331.","Lafuente Y","Int J Pharm Compd","2019","2019/07/18","","",""
"36986818","Pharmaceutical Oral Formulation of Methionine as a Pediatric Treatment in Inherited Metabolic Disease","Querin B, Schweitzer-Chaput A, Cisternino S, Auvity S, Fauqueur AS, Negbane A, Hadchouel A, Schlatter J, Cotteret C.","Pharmaceutics. 2023 Mar 16;15(3):957. doi: 10.3390/pharmaceutics15030957.","Querin B","Pharmaceutics","2023","2023/03/29","PMC10056843","","10.3390/pharmaceutics15030957"
"29737955","Comparison of Two Neutral Oral Contrast Agents in Pediatric Patients: A Prospective Randomized Study","Dillman JR, Towbin AJ, Imbus R, Young J, Gates E, Trout AT.","Radiology. 2018 Jul;288(1):245-251. doi: 10.1148/radiol.2018173039. Epub 2018 May 8.","Dillman JR","Radiology","2018","2018/05/09","","","10.1148/radiol.2018173039"
"17039647","Taste comparison of corticosteroid suspensions","Regan TD, Lewis D, Norton SA.","J Drugs Dermatol. 2006 Oct;5(9):835-7.","Regan TD","J Drugs Dermatol","2006","2006/10/17","","",""
"32566185","Optimization of the formula and processing of a sweet potato leaf powder-based beverage","Luo D, Mu TH, Sun H, Chen J.","Food Sci Nutr. 2020 May 7;8(6):2680-2691. doi: 10.1002/fsn3.1555. eCollection 2020 Jun.","Luo D","Food Sci Nutr","2020","2020/06/23","PMC7300073","","10.1002/fsn3.1555"
"32619118","Formulation development of paracetamol instant jelly for pediatric use","Almurisi SH, Doolaanea AA, Akkawi ME, Chatterjee B, Ahmed Saeed Aljapairai K, Islam Sarker MZ.","Drug Dev Ind Pharm. 2020 Aug;46(8):1373-1383. doi: 10.1080/03639045.2020.1791165. Epub 2020 Jul 10.","Almurisi SH","Drug Dev Ind Pharm","2020","2020/07/04","","","10.1080/03639045.2020.1791165"
"36900447","Bos indicus Carcasses Suspended by the Pelvic Bone Require a Shorter Aging Time to Meet Consumer Expectations Regarding Meat Quality","Baldassini W, Coutinho M, Rovadoscki G, Menezes B, Tagiariolli M, Torrecilhas J, Leonel J, Pereira G, Curi R, Machado Neto O, Chardulo LA.","Foods. 2023 Feb 22;12(5):930. doi: 10.3390/foods12050930.","Baldassini W","Foods","2023","2023/03/11","PMC10000897","","10.3390/foods12050930"
"14725575","Review article: epidemiology and management of gastro-oesophageal reflux in children","Gold BD.","Aliment Pharmacol Ther. 2004 Feb;19 Suppl 1:22-7. doi: 10.1111/j.0953-0673.2004.01832.x.","Gold BD","Aliment Pharmacol Ther","2004","2004/01/17","","","10.1111/j.0953-0673.2004.01832.x"
"38457115","Successful Treatment of Recurrent Clostridioides difficile Infection Using a Novel, Drinkable, Oral Formulation of Fecal Microbiota","Sadowsky MJ, Matson M, Mathai PP, Pho M, Staley C, Evert C, Weldy M, Khoruts A.","Dig Dis Sci. 2024 May;69(5):1778-1784. doi: 10.1007/s10620-024-08351-7. Epub 2024 Mar 8.","Sadowsky MJ","Dig Dis Sci","2024","2024/03/08","","","10.1007/s10620-024-08351-7"
"33560484","Generation of Ophthalmic Nanosuspension of Prednisolone Acetate Using a Novel Technology","Nandwani Y, Kaur A, Bansal AK.","Pharm Res. 2021 Feb;38(2):319-333. doi: 10.1007/s11095-021-02985-2. Epub 2021 Feb 9.","Nandwani Y","Pharm Res","2021","2021/02/09","","","10.1007/s11095-021-02985-2"
"16874091","Degradation of membrane phospholipids in plant cells cultured in sucrose-free medium","Inoue Y, Moriyasu Y.","Autophagy. 2006 Jul-Sep;2(3):244-6. doi: 10.4161/auto.2745. Epub 2006 Jul 29.","Inoue Y","Autophagy","2006","2006/07/29","","","10.4161/auto.2745"
"32327778","Rheological, nutritional, functional and sensory properties of millets and sprouted legume based beverages","Agrahar-Murugkar D, Bajpai-Dixit P, Kotwaliwale N.","J Food Sci Technol. 2020 May;57(5):1671-1679. doi: 10.1007/s13197-019-04200-y. Epub 2019 Dec 12.","Agrahar-Murugkar D","J Food Sci Technol","2020","2020/04/25","PMC7171001","","10.1007/s13197-019-04200-y"
"22382410","Taste-masking effect of physical and organoleptic methods on peppermint-scented orally disintegrating tablet of famotidine based on suspension spray-coating method","Sugiura T, Uchida S, Namiki N.","Chem Pharm Bull (Tokyo). 2012;60(3):315-9. doi: 10.1248/cpb.60.315.","Sugiura T","Chem Pharm Bull (Tokyo)","2012","2012/03/03","","","10.1248/cpb.60.315"
"23995972","Stability of allopurinol suspension compounded from tablets","Alexander KS, Davar N, Parker GA.","Int J Pharm Compd. 1997 Mar-Apr;1(2):128-31.","Alexander KS","Int J Pharm Compd","1997","2013/09/03","","",""
"36613270","A Cake Made with No Animal Origin Ingredients: Physical Properties and Nutritional and Sensory Quality","Ansorena D, Cartagena L, Astiasaran I.","Foods. 2022 Dec 22;12(1):54. doi: 10.3390/foods12010054.","Ansorena D","Foods","2022","2023/01/08","PMC9818566","","10.3390/foods12010054"
"25747220","[Oral dosage forms for children: acceptability and palatability]","Kojima J.","Yakugaku Zasshi. 2015;135(2):245-7. doi: 10.1248/yakushi.14-00228-4.","Kojima J","Yakugaku Zasshi","2015","2015/03/10","","","10.1248/yakushi.14-00228-4"
"12837560","Relative bioavailability of topiramate administered rectally","Conway JM, Birnbaum AK, Kriel RL, Cloyd JC.","Epilepsy Res. 2003 May;54(2-3):91-6. doi: 10.1016/s0920-1211(03)00083-4.","Conway JM","Epilepsy Res","2003","2003/07/03","","","10.1016/s0920-1211(03)00083-4"
"34786708","Lactobacillus paracasei M11-4 isolated from fermented rice demonstrates good antioxidant properties in vitro and in vivo","Yang J, Dong C, Ren F, Xie Y, Liu H, Zhang H, Jin J.","J Sci Food Agric. 2022 Jun;102(8):3107-3118. doi: 10.1002/jsfa.11652. Epub 2021 Dec 6.","Yang J","J Sci Food Agric","2022","2021/11/17","","","10.1002/jsfa.11652"
"25784402","Extemporaneous benznidazole oral suspension prepared from commercially available tablets for treatment of Chagas disease in paediatric patients","García MC, Manzo RH, Jimenez-Kairuz AF.","Trop Med Int Health. 2015 Jul;20(7):864-70. doi: 10.1111/tmi.12508. Epub 2015 Apr 6.","García MC","Trop Med Int Health","2015","2015/03/19","","","10.1111/tmi.12508"
"11699443","The improvement of milk by cultivation with ciliates","Valcarce G, Muñoz L, Nusblat A, Nudel C, Florin-Christensen J.","J Dairy Sci. 2001 Oct;84(10):2136-43. doi: 10.3168/jds.S0022-0302(01)74658-9.","Valcarce G","J Dairy Sci","2001","2001/11/09","","","10.3168/jds.S0022-0302(01)74658-9"
"32659617","Chitosan nanoemulsions of cold-pressed orange essential oil to preserve fruit juices","Bento R, Pagán E, Berdejo D, de Carvalho RJ, García-Embid S, Maggi F, Magnani M, de Souza EL, García-Gonzalo D, Pagán R.","Int J Food Microbiol. 2020 Oct 16;331:108786. doi: 10.1016/j.ijfoodmicro.2020.108786. Epub 2020 Jul 6.","Bento R","Int J Food Microbiol","2020","2020/07/14","","","10.1016/j.ijfoodmicro.2020.108786"
"18442662","[Long-lasting filling procedures]","Môle B.","Ann Dermatol Venereol. 2008 Jan;135(1 Pt 2):1S39-47. doi: 10.1016/S0151-9638(08)70210-2.","Môle B","Ann Dermatol Venereol","2008","2008/05/06","","","10.1016/S0151-9638(08)70210-2"
"8878244","Properties of azithromycin that enhance the potential for compliance in children with upper respiratory tract infections","Powers JL.","Pediatr Infect Dis J. 1996 Sep;15(9 Suppl):S30-7. doi: 10.1097/00006454-199609009-00006.","Powers JL","Pediatr Infect Dis J","1996","1996/09/01","","","10.1097/00006454-199609009-00006"
"14346086","A TRANSGLUCOSYLASE OF STREPTOCOCCUS BOVIS","WALKER GJ.","Biochem J. 1965 Feb;94(2):299-308. doi: 10.1042/bj0940299.","WALKER GJ","Biochem J","1965","1965/02/01","PMC1206510","","10.1042/bj0940299"
"10900541","Preparation of polymeric microcapsules: formulation studies","Bjerknes K, Dyrstad K, Smistad G, Agerkvist I.","Drug Dev Ind Pharm. 2000 Aug;26(8):847-56. doi: 10.1081/ddc-100101308.","Bjerknes K","Drug Dev Ind Pharm","2000","2000/07/20","","","10.1081/ddc-100101308"
"2657027","Clinical evaluation of a nystatin pastille for treatment of denture-related oral candidiasis","Johnson GH, Taylor TD, Heid DW.","J Prosthet Dent. 1989 Jun;61(6):699-703. doi: 10.1016/s0022-3913(89)80045-9.","Johnson GH","J Prosthet Dent","1989","1989/06/01","","","10.1016/s0022-3913(89)80045-9"
"2511611","Taste evaluation and compliance of two paediatric formulations of phenoxymethylpenicillin in children","Bagger-Sjöbäck D, Bondesson G.","Scand J Prim Health Care. 1989 Jun;7(2):87-92. doi: 10.3109/02813438909088653.","Bagger-Sjöbäck D","Scand J Prim Health Care","1989","1989/06/01","","","10.3109/02813438909088653"
"20815879","Early clinical development of artemether-lumefantrine dispersible tablet: palatability of three flavours and bioavailability in healthy subjects","Abdulla S, Amuri B, Kabanywanyi AM, Ubben D, Reynolds C, Pascoe S, Fitoussi S, Yeh CM, Nuortti M, Séchaud R, Kaiser G, Lefèvre G.","Malar J. 2010 Sep 3;9:253. doi: 10.1186/1475-2875-9-253.","Abdulla S","Malar J","2010","2010/09/07","PMC2945360","","10.1186/1475-2875-9-253"
"29177624","Production of Monascus pigments as extracellular crystals by cell suspension culture","Lu F, Liu L, Huang Y, Zhang X, Wang Z.","Appl Microbiol Biotechnol. 2018 Jan;102(2):677-687. doi: 10.1007/s00253-017-8646-1. Epub 2017 Nov 25.","Lu F","Appl Microbiol Biotechnol","2018","2017/11/28","","","10.1007/s00253-017-8646-1"
"35534700","Transformation of Ritonavir Nanocrystal Suspensions into a Redispersible Drug Product via Vacuum Drum Drying","Schönfeld BV, Westedt U, Keller BL, Wagner KG.","AAPS PharmSciTech. 2022 May 9;23(5):137. doi: 10.1208/s12249-022-02283-z.","Schönfeld BV","AAPS PharmSciTech","2022","2022/05/09","","","10.1208/s12249-022-02283-z"
"21535677","Effect of cassava starch coating on quality and shelf life of fresh-cut pineapple (Ananas comosus L. Merril cv ""Pérola"")","Bierhals VS, Chiumarelli M, Hubinger MD.","J Food Sci. 2011 Jan-Feb;76(1):E62-72. doi: 10.1111/j.1750-3841.2010.01951.x. Epub 2011 Jan 6.","Bierhals VS","J Food Sci","2011","2011/05/04","","","10.1111/j.1750-3841.2010.01951.x"
