,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
2000,26315793,Groin Swelling in a Four-Year-Old Boy: Primary Great Saphenous Vein Aneurysm,"Çiçek MC, Çiçek ÖF, Yalçınkaya A, Taşoğlu İ.",Ann Vasc Surg. 2015 Nov;29(8):1660.e11-2. doi: 10.1016/j.avsg.2015.06.082. Epub 2015 Aug 24.,Çiçek MC,Ann Vasc Surg,2015,2015/08/29,,,10.1016/j.avsg.2015.06.082
2001,23407820,Wait watchers: the application of a waiting list active management program in ambulatory care,"de Belvis AG, Marino M, Avolio M, Pelone F, Basso D, Dei Tos GA, Cinquetti S, Ricciardi W.",Int J Qual Health Care. 2013 Apr;25(2):205-12. doi: 10.1093/intqhc/mzt015. Epub 2013 Feb 13.,de Belvis AG,Int J Qual Health Care,2013,2013/02/15,,,10.1093/intqhc/mzt015
2002,36639598,Patient-reported outcome (PRO) measurements in chronic and malignant diseases: ten years' experience with PRO-algorithm-based patient-clinician interaction (telePRO) in AmbuFlex,"Hjollund NHI, Larsen LP, de Thurah AL, Grove BE, Skuladottir H, Linnet H, Friis RB, Johnsen SP, May O, Jensen AL, Hansen TK, Taarnhøj GA, Tolstrup LK, Pappot H, Ivarsen P, Dørflinger L, Jessen A, Sørensen NT, Schougaard LMV, Team TA.",Qual Life Res. 2023 Apr;32(4):1053-1067. doi: 10.1007/s11136-022-03322-9. Epub 2023 Jan 13.,Hjollund NHI,Qual Life Res,2023,2023/01/13,PMC10063508,,10.1007/s11136-022-03322-9
2003,28550741,Exploring syndrome differentiation using non-negative matrix factorization and cluster analysis in patients with atopic dermatitis,"Yun Y, Jung W, Kim H, Jang BH, Kim MH, Noh J, Ko SG, Choi I.",Comput Biol Med. 2017 Aug 1;87:70-76. doi: 10.1016/j.compbiomed.2017.05.023. Epub 2017 May 22.,Yun Y,Comput Biol Med,2017,2017/05/28,,,10.1016/j.compbiomed.2017.05.023
2004,6884959,[Rheumatism--a disease of civilization? Incidence of inflammatory rheumatic diseases in South Africa],"Meyers OL, Jessop S, Klemp P, Keraan M.","Fortschr Med. 1983 Jul 14;101(26):1224-7, 1230.",Meyers OL,Fortschr Med,1983,1983/07/14,,,
2005,15852284,Long-term results of conservative management of adnexal torsion in children,"Celik A, Ergün O, Aldemir H, Ozcan C, Ozok G, Erdener A, Balýk E.",J Pediatr Surg. 2005 Apr;40(4):704-8. doi: 10.1016/j.jpedsurg.2005.01.008.,Celik A,J Pediatr Surg,2005,2005/04/27,,,10.1016/j.jpedsurg.2005.01.008
2006,9327713,Coil occlusion of patent ductus arteriosus with detachable coils,"Akagi T, Hashino K, Sugimura T, Ishii M, Eto G, Kato H.",Am Heart J. 1997 Sep;134(3):538-43. doi: 10.1016/s0002-8703(97)70092-9.,Akagi T,Am Heart J,1997,1997/11/05,,,10.1016/s0002-8703(97)70092-9
2007,25449932,Neuro-ophthalmic manifestations of prematurity,"Chhablani PP, Kekunnaya R.",Indian J Ophthalmol. 2014 Oct;62(10):992-5. doi: 10.4103/0301-4738.145990.,Chhablani PP,Indian J Ophthalmol,2014,2014/12/03,PMC4278126,,10.4103/0301-4738.145990
2008,25781359,Association between serum thyroid-stimulating hormone levels and serum lipids in children and adolescents: a population-based study of german youth,"Witte T, Ittermann T, Thamm M, Riblet NB, Völzke H.",J Clin Endocrinol Metab. 2015 May;100(5):2090-7. doi: 10.1210/jc.2014-4466. Epub 2015 Mar 17.,Witte T,J Clin Endocrinol Metab,2015,2015/03/18,,,10.1210/jc.2014-4466
2009,32791971,Interaction between lead and noradrenergic genotypes affects neurocognitive functions in attention-deficit/hyperactivity disorder: a case control study,"Choi JW, Jung AH, Nam S, Kim KM, Kim JW, Kim SY, Kim BN, Kim JW.",BMC Psychiatry. 2020 Aug 6;20(1):407. doi: 10.1186/s12888-020-02799-3.,Choi JW,BMC Psychiatry,2020,2020/08/15,PMC7425170,,10.1186/s12888-020-02799-3
2010,28038884,Photoprotection in specific populations: Children and people of color,"Cestari T, Buster K.",J Am Acad Dermatol. 2017 Mar;76(3S1):S110-S121. doi: 10.1016/j.jaad.2016.09.039. Epub 2016 Dec 27.,Cestari T,J Am Acad Dermatol,2017,2017/01/01,,,10.1016/j.jaad.2016.09.039
2011,7494083,A retrospective study of eye disease among first grade children in Los Angeles,"Choi TB, Lee DA, Oelrich FO, Amponash D, Bateman JB, Christensen RE.",J Am Optom Assoc. 1995 Aug;66(8):484-8.,Choi TB,J Am Optom Assoc,1995,1995/08/01,,,
2012,16784078,Repair of a dysplastic tricuspid valve using artificial chordae: case report,"Honjo O, Ishino K, Yoshizumi K, Kawada M, Ohtsuki S, Akagi T, Sano S.",J Heart Valve Dis. 2006 May;15(3):392-3.,Honjo O,J Heart Valve Dis,2006,2006/06/21,,,
