PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36401752","Nootkatone Improves Chronic Unpredictable Mild Stress-Induced Depressive-Like Behaviors by Repressing NF-κB/NLRP3-Mediated Neuroinflammation","Zhao XH, An N, Xia MH, Liu WP, Wang QQ, Bao JZ.","Chin J Integr Med. 2023 Jan;29(1):37-43. doi: 10.1007/s11655-022-3725-2. Epub 2022 Nov 19.","Zhao XH","Chin J Integr Med","2023","2022/11/19","","","10.1007/s11655-022-3725-2"
"28213267","Ferulic acid inhibits neuro-inflammation in mice exposed to chronic unpredictable mild stress","Liu YM, Shen JD, Xu LP, Li HB, Li YC, Yi LT.","Int Immunopharmacol. 2017 Apr;45:128-134. doi: 10.1016/j.intimp.2017.02.007. Epub 2017 Feb 14.","Liu YM","Int Immunopharmacol","2017","2017/02/19","","","10.1016/j.intimp.2017.02.007"
"27922594","Cacna1c in the Prefrontal Cortex Regulates Depression-Related Behaviors via REDD1","Kabir ZD, Lee AS, Burgdorf CE, Fischer DK, Rajadhyaksha AM, Mok E, Rizzo B, Rice RC, Singh K, Ota KT, Gerhard DM, Schierberl KC, Glass MJ, Duman RS, Rajadhyaksha AM.","Neuropsychopharmacology. 2017 Sep;42(10):2032-2042. doi: 10.1038/npp.2016.271. Epub 2016 Dec 6.","Kabir ZD","Neuropsychopharmacology","2017","2016/12/07","PMC5561335","","10.1038/npp.2016.271"
"26454213","Geraniol produces antidepressant-like effects in a chronic unpredictable mild stress mice model","Deng XY, Xue JS, Li HY, Ma ZQ, Fu Q, Qu R, Ma SP.","Physiol Behav. 2015 Dec 1;152(Pt A):264-71. doi: 10.1016/j.physbeh.2015.10.008. Epub 2015 Oct 8.","Deng XY","Physiol Behav","2015","2015/10/11","","","10.1016/j.physbeh.2015.10.008"
"35183538","Hippocampal NR6A1 impairs CREB-BDNF signaling and leads to the development of depression-like behaviors in mice","Tan P, Xue T, Wang Y, Hu Z, Su J, Yang R, Ji J, Ye M, Chen Z, Huang C, Lu X.","Neuropharmacology. 2022 May 15;209:108990. doi: 10.1016/j.neuropharm.2022.108990. Epub 2022 Feb 17.","Tan P","Neuropharmacology","2022","2022/02/20","","","10.1016/j.neuropharm.2022.108990"
"33857491","Ganoderic acid A exerted antidepressant-like action through FXR modulated NLRP3 inflammasome and synaptic activity","Bao H, Li H, Jia Y, Xiao Y, Luo S, Zhang D, Han L, Dai L, Xiao C, Feng L, Feng Y, Yang Y, Wang H, Wang G, Du J.","Biochem Pharmacol. 2021 Jun;188:114561. doi: 10.1016/j.bcp.2021.114561. Epub 2021 Apr 20.","Bao H","Biochem Pharmacol","2021","2021/04/15","","","10.1016/j.bcp.2021.114561"
"31373969","Ginsenoside Rg1 attenuates chronic unpredictable mild stress-induced depressive-like effect via regulating NF-κB/NLRP3 pathway in rats","Zhang YQ, Wang XB, Xue RR, Gao XX, Li W.","Neuroreport. 2019 Sep 4;30(13):893-900. doi: 10.1097/WNR.0000000000001302.","Zhang YQ","Neuroreport","2019","2019/08/03","","","10.1097/WNR.0000000000001302"
"28093255","NLRP3 gene knockout blocks NF-κB and MAPK signaling pathway in CUMS-induced depression mouse model","Su WJ, Zhang Y, Chen Y, Gong H, Lian YJ, Peng W, Liu YZ, Wang YX, You ZL, Feng SJ, Zong Y, Lu GC, Jiang CL.","Behav Brain Res. 2017 Mar 30;322(Pt A):1-8. doi: 10.1016/j.bbr.2017.01.018. Epub 2017 Jan 16.","Su WJ","Behav Brain Res","2017","2017/01/18","","","10.1016/j.bbr.2017.01.018"
"27663658","Development of an efficient strategy to improve HPV immunization coverage in Japan","Yagi A, Ueda Y, Egawa-Takata T, Tanaka Y, Morimoto A, Terai Y, Ohmichi M, Ichimura T, Sumi T, Murata H, Okada H, Nakai H, Mandai M, Yoshino K, Kimura T, Saito J, Kudoh R, Sekine M, Enomoto T, Hirai K, Horikoshi Y, Takagi T, Shimura K.","BMC Public Health. 2016 Sep 23;16(1):1013. doi: 10.1186/s12889-016-3676-7.","Yagi A","BMC Public Health","2016","2016/09/25","PMC5035494","","10.1186/s12889-016-3676-7"
"16269629","Hemodynamic evaluation of embolic trajectory in an arterial bifurcation: an in-vitro experimental model","Bushi D, Grad Y, Einav S, Yodfat O, Nishri B, Tanne D.","Stroke. 2005 Dec;36(12):2696-700. doi: 10.1161/01.STR.0000190097.08862.9a. Epub 2005 Nov 3.","Bushi D","Stroke","2005","2005/11/05","","","10.1161/01.STR.0000190097.08862.9a"
"11432941","Nuclear fusion leads to chromosome doubling during mannitol pretreatment of barley (Hordeum vulgare L.) microspores","Kasha KJ, Hu TC, Oro R, Simion E, Shim YS.","J Exp Bot. 2001 Jun;52(359):1227-38.","Kasha KJ","J Exp Bot","2001","2001/07/04","","",""
