PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34387136","Amoxicillin chewable tablets intended for pediatric use: formulation development, stability evaluation and taste assessment","Synaridou MS, Monou PK, Zacharis CK, Fatouros DG, Panderi I, Markopoulou CK.","Pharm Dev Technol. 2021 Nov;26(9):978-988. doi: 10.1080/10837450.2021.1968431. Epub 2021 Aug 20.","Synaridou MS","Pharm Dev Technol","2021","2021/08/13","","","10.1080/10837450.2021.1968431"
"27147292","Stability and Compatibility of Antibiotics in Peritoneal Dialysis Solutions Applied to Automated Peritoneal Dialysis in The Pediatric Population","Deslandes G, Grégoire M, Bouquié R, Le Marec A, Allard S, Dailly E, Pineau A, Allain-Launay E, Jolliet P, Roussey G, Navas D.","Perit Dial Int. 2016 11-12;36(6):676-679. doi: 10.3747/pdi.2015.00018. Epub 2016 May 4.","Deslandes G","Perit Dial Int","2016","2016/05/06","PMC5174876","","10.3747/pdi.2015.00018"
"2000275","Sweeteners, flavorings, and dyes in antibiotic preparations","Kumar A, Weatherly MR, Beaman DC.","Pediatrics. 1991 Mar;87(3):352-60.","Kumar A","Pediatrics","1991","1991/03/01","","",""
"3847523","[Bacteriological and clinical evaluation of BRL 25000 (clavulanic acid-amoxicillin) granules in the pediatric field]","Haruta T, Kuroki S, Okura K, Kobayashi Y.","Jpn J Antibiot. 1985 Feb;38(2):359-72.","Haruta T","Jpn J Antibiot","1985","1985/02/01","","",""
"26200148","Does the presence of sucrose in pediatric antibiotics influence the enamel mineral loss and the Streptococcus mutans counts in dental biofilm?","Soares DN, Antonio AG, Iorio NL, Pierro VS, dos Santos KR, Maia LC.","Braz Dent J. 2015 May-Jun;26(3):249-57. doi: 10.1590/0103-6440201302353.","Soares DN","Braz Dent J","2015","2015/07/23","","","10.1590/0103-6440201302353"
"24939259","Comparative evaluation of cariogenic and erosive potential of commonly prescribed pediatric liquid medicaments: an in vitro study","Nankar M, Walimbe H, Ahmed Bijle MN, Kontham U, Kamath A, Muchandi S.","J Contemp Dent Pract. 2014 Jan 1;15(1):20-5. doi: 10.5005/jp-journals-10024-1481.","Nankar M","J Contemp Dent Pract","2014","2014/06/19","","","10.5005/jp-journals-10024-1481"
"8957836","The effect of sucrose in medicines on plaque pH","Marathaki E, Pollard MA, Curzon ME.","Int J Paediatr Dent. 1995 Dec;5(4):231-5. doi: 10.1111/j.1365-263x.1995.tb00184.x.","Marathaki E","Int J Paediatr Dent","1995","1995/12/01","","","10.1111/j.1365-263x.1995.tb00184.x"
"20569667","National survey of pediatricians' opinions about and practices for acute otitis media and xylitol use","Danhauer JL, Johnson CE, Rotan SN, Snelson TA, Stockwell JS.","J Am Acad Audiol. 2010 May;21(5):329-46. doi: 10.3766/jaaa.21.5.5.","Danhauer JL","J Am Acad Audiol","2010","2010/06/24","","","10.3766/jaaa.21.5.5"
"24316517","Impact of oral vancomycin on gut microbiota, bile acid metabolism, and insulin sensitivity","Vrieze A, Out C, Fuentes S, Jonker L, Reuling I, Kootte RS, van Nood E, Holleman F, Knaapen M, Romijn JA, Soeters MR, Blaak EE, Dallinga-Thie GM, Reijnders D, Ackermans MT, Serlie MJ, Knop FK, Holst JJ, van der Ley C, Kema IP, Zoetendal EG, de Vos WM, Hoekstra JB, Stroes ES, Groen AK, Nieuwdorp M.","J Hepatol. 2014 Apr;60(4):824-31. doi: 10.1016/j.jhep.2013.11.034. Epub 2013 Dec 6.","Vrieze A","J Hepatol","2014","2013/12/10","","","10.1016/j.jhep.2013.11.034"
"24061605","Effect of a sugar-free pediatric antibiotic on primary tooth enamel hardness when exposed to different sucrose exposure conditions in situ","Pierro VS, Iorio NL, Lobo LA, Cabral LM, Dos Santos KR, Maia LC.","Clin Oral Investig. 2014;18(5):1391-9. doi: 10.1007/s00784-013-1108-y. Epub 2013 Sep 24.","Pierro VS","Clin Oral Investig","2014","2013/09/25","","","10.1007/s00784-013-1108-y"
