,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,34610024,Impact of color-coded and warning nutrition labelling schemes: A systematic review and network meta-analysis,"Song J, Brown MK, Tan M, MacGregor GA, Webster J, Campbell NRC, Trieu K, Ni Mhurchu C, Cobb LK, He FJ.",PLoS Med. 2021 Oct 5;18(10):e1003765. doi: 10.1371/journal.pmed.1003765. eCollection 2021 Oct.,Song J,PLoS Med,2021,2021/10/05,PMC8491916,,10.1371/journal.pmed.1003765
1,26404013,Health safety issues of synthetic food colorants,"Amchova P, Kotolova H, Ruda-Kucerova J.",Regul Toxicol Pharmacol. 2015 Dec;73(3):914-22. doi: 10.1016/j.yrtph.2015.09.026. Epub 2015 Sep 25.,Amchova P,Regul Toxicol Pharmacol,2015,2015/09/26,,,10.1016/j.yrtph.2015.09.026
2,38423749,Artificial food additives: hazardous to long-term health?,Warner JO.,Arch Dis Child. 2024 Oct 18;109(11):882-885. doi: 10.1136/archdischild-2023-326565.,Warner JO,Arch Dis Child,2024,2024/02/29,,,10.1136/archdischild-2023-326565
3,34742660,Inclusion and equity: Experiences of underrepresented in medicine physicians throughout the medical education continuum,"Brown Z, Al-Hassan RS, Barber A.",Curr Probl Pediatr Adolesc Health Care. 2021 Oct;51(10):101089. doi: 10.1016/j.cppeds.2021.101089. Epub 2021 Nov 3.,Brown Z,Curr Probl Pediatr Adolesc Health Care,2021,2021/11/07,,,10.1016/j.cppeds.2021.101089
4,35364248,"Child and Adolescent Psychiatry and Underrepresented Youth With School Attendance Problems: Integration With Systems of Care, Advocacy, and Future Directions","Kearney CA, Benoit L.",J Am Acad Child Adolesc Psychiatry. 2022 Oct;61(10):1208-1210. doi: 10.1016/j.jaac.2022.03.016. Epub 2022 Mar 29.,Kearney CA,J Am Acad Child Adolesc Psychiatry,2022,2022/04/01,,,10.1016/j.jaac.2022.03.016
5,32870359,Ultrasonography in pediatric Budd-Chiari syndrome,"Madhusudhan KS, Sharma S.",Pediatr Radiol. 2020 Nov;50(12):1768-1780. doi: 10.1007/s00247-020-04753-7. Epub 2020 Sep 1.,Madhusudhan KS,Pediatr Radiol,2020,2020/09/02,,,10.1007/s00247-020-04753-7
6,36646660,Re-imagining Early Childhood Education and School Readiness for Children and Families of Color in the Time of COVID-19 and Beyond,"Kerker BD, Rojas NM, Dawson-McClure S, Gonzalez C.",Am J Health Promot. 2023 Feb;37(2):270-273. doi: 10.1177/08901171221140641c.,Kerker BD,Am J Health Promot,2023,2023/01/16,,,10.1177/08901171221140641c
7,35913365,"Childcare providers' views of challenging child behaviors, suspension, and expulsion: A qualitative analysis","Mondi CF, Rihal TK, Magro SW, Kerber S, Carlson EA.",Infant Ment Health J. 2022 Sep;43(5):695-713. doi: 10.1002/imhj.22005. Epub 2022 Aug 1.,Mondi CF,Infant Ment Health J,2022,2022/08/01,PMC9463106,NIHMS1825302,10.1002/imhj.22005
8,34742662,"Underrepresented in medicine in graduate medical education: Historical trends, bias, and recruitment practices","Yemane L, Omoruyi E.",Curr Probl Pediatr Adolesc Health Care. 2021 Oct;51(10):101088. doi: 10.1016/j.cppeds.2021.101088. Epub 2021 Nov 3.,Yemane L,Curr Probl Pediatr Adolesc Health Care,2021,2021/11/07,,,10.1016/j.cppeds.2021.101088
9,36895044,Genetic mapping and molecular mechanism behind color variation in the Asian vine snake,"Tang CY, Zhang X, Xu X, Sun S, Peng C, Song MH, Yan C, Sun H, Liu M, Xie L, Luo SJ, Li JT.",Genome Biol. 2023 Mar 9;24(1):46. doi: 10.1186/s13059-023-02887-z.,Tang CY,Genome Biol,2023,2023/03/09,PMC9999515,,10.1186/s13059-023-02887-z
