PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34726708","Effect of Amoxicillin Dose and Treatment Duration on the Need for Antibiotic Re-treatment in Children With Community-Acquired Pneumonia: The CAP-IT Randomized Clinical Trial","Bielicki JA, Stöhr W, Barratt S, Dunn D, Naufal N, Roland D, Sturgeon K, Finn A, Rodriguez-Ruiz JP, Malhotra-Kumar S, Powell C, Faust SN, Alcock AE, Hall D, Robinson G, Hawcutt DB, Lyttle MD, Gibb DM, Sharland M; PERUKI, GAPRUKI, and the CAP-IT Trial Group.","JAMA. 2021 Nov 2;326(17):1713-1724. doi: 10.1001/jama.2021.17843.","Bielicki JA","JAMA","2021","2021/11/02","PMC8564579","","10.1001/jama.2021.17843"
"29262176","Acute Otitis Media","Danishyar A, Ashurst JV.","2023 Apr 15. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2024 Jan–.","Danishyar AAshurst JV","StatPearls","2024","2023/04/15","","",""
"14726904","Antimicrobial treatment guidelines for acute bacterial rhinosinusitis","Anon JB, Jacobs MR, Poole MD, Ambrose PG, Benninger MS, Hadley JA, Craig WA; Sinus And Allergy Health Partnership.","Otolaryngol Head Neck Surg. 2004 Jan;130(1 Suppl):1-45. doi: 10.1016/j.otohns.2003.12.003.","Anon JB","Otolaryngol Head Neck Surg","2004","2004/01/17","PMC7118847","","10.1016/j.otohns.2003.12.003"
"29461265","Severe acute malnutrition","Nel E.","Curr Opin Clin Nutr Metab Care. 2018 May;21(3):195-199. doi: 10.1097/MCO.0000000000000465.","Nel E","Curr Opin Clin Nutr Metab Care","2018","2018/02/21","","","10.1097/MCO.0000000000000465"
"32841941","Amoxicillin Dosing Regimens for the Treatment of Neonatal Sepsis: Balancing Efficacy and Neurotoxicity","van Donge T, Fuchs A, Leroux S, Pfister M, Rodieux F, Atkinson A, Giannoni E, van den Anker J, Bielicki J.","Neonatology. 2020;117(5):619-627. doi: 10.1159/000509751. Epub 2020 Aug 25.","van Donge T","Neonatology","2020","2020/08/26","","","10.1159/000509751"
"30407457","Early discharge of pediatric patients with cancer, fever, and neutropenia with low-risk of systemic infection","Gil-Veloz M, Pacheco-Rosas DO, Solórzano-Santos F, Villasís-Keever MA, Betanzos-Cabrera Y, Miranda-Novales G.","Bol Med Hosp Infant Mex. 2018;75(6):352-357. doi: 10.24875/BMHIM.18000015.","Gil-Veloz M","Bol Med Hosp Infant Mex","2018","2018/11/09","","","10.24875/BMHIM.18000015"
"37493159","Group A β-hemolytic Streptococcal Pharyngitis: An Updated Review","Leung AKC, Lam JM, Barankin B, Leong KF, Hon KL.","Curr Pediatr Rev. 2024;21(1):2-17. doi: 10.2174/1573396320666230726145436.","Leung AKC","Curr Pediatr Rev","2024","2023/07/26","","","10.2174/1573396320666230726145436"
"14632104","Acute bacterial skin infections in pediatric medicine: current issues in presentation and treatment","Hedrick J.","Paediatr Drugs. 2003;5 Suppl 1:35-46.","Hedrick J","Paediatr Drugs","2003","2003/11/25","","",""
"38250287","Establishing obstetrics-specific metrics and interventions for antimicrobial stewardship","Wong JMH, Wooding DJ, Leung SE, Paquette V, Roberts A, Elwood C.","J Assoc Med Microbiol Infect Dis Can. 2023 Sep 18;8(2):116-124. doi: 10.3138/jammi-2022-0032. eCollection 2023 Sep.","Wong JMH","J Assoc Med Microbiol Infect Dis Can","2023","2024/01/22","PMC10795696","","10.3138/jammi-2022-0032"
"22208358","Experience developing national evidence-based clinical guidelines for childhood pneumonia in a low-income setting--making the GRADE?","Agweyu A, Opiyo N, English M.","BMC Pediatr. 2012 Jan 1;12:1. doi: 10.1186/1471-2431-12-1.","Agweyu A","BMC Pediatr","2012","2012/01/03","PMC3268095","","10.1186/1471-2431-12-1"
"15156358","Rates of antimicrobial resistance among common bacterial pathogens causing respiratory, blood, urine, and skin and soft tissue infections in pediatric patients","Jones ME, Karlowsky JA, Draghi DC, Thornsberry C, Sahm DF, Bradley JS.","Eur J Clin Microbiol Infect Dis. 2004 Jun;23(6):445-55. doi: 10.1007/s10096-004-1133-5. Epub 2004 May 20.","Jones ME","Eur J Clin Microbiol Infect Dis","2004","2004/05/25","","","10.1007/s10096-004-1133-5"
"9041624","Comparison of the efficacy, safety and acceptability of cefixime and amoxicillin/clavulanate in acute otitis media","Gooch WM 3rd, Philips A, Rhoades R, Rosenberg R, Schaten R, Starobin S.","Pediatr Infect Dis J. 1997 Feb;16(2 Suppl):S21-4. doi: 10.1097/00006454-199702001-00006.","Gooch WM 3rd","Pediatr Infect Dis J","1997","1997/02/01","","","10.1097/00006454-199702001-00006"
"18958497","Study of the acceptability of antibiotic syrups, suspensions, and oral solutions prescribed to pediatric outpatients","Cohen R, de La Rocque F, Lécuyer A, Wollner C, Bodin MJ, Wollner A.","Eur J Pediatr. 2009 Jul;168(7):851-7. doi: 10.1007/s00431-008-0857-0. Epub 2008 Oct 29.","Cohen R","Eur J Pediatr","2009","2008/10/30","","","10.1007/s00431-008-0857-0"
"31152030","Evaluating the use of job aids and user instructions to improve adherence for the treatment of childhood pneumonia using amoxicillin dispersible tablets in a low-income setting: a mixed-method study","Sarma H, Gerth-Guyette E, Shakil SA, Alom KR, Abu-Haydar E, D'Rozario M, Tariqujjaman M, Arifeen SE, Ahmed T.","BMJ Open. 2019 May 30;9(5):e024978. doi: 10.1136/bmjopen-2018-024978.","Sarma H","BMJ Open","2019","2019/06/02","PMC6549679","","10.1136/bmjopen-2018-024978"
"16507381","A pooled analysis of seven randomized crossover studies of the palatability of cefdinir oral suspension versus amoxicillin/clavulanate potassium, cefprozil, azithromycin, and amoxicillin in children aged 4 to 8 years","Holas C, Chiu YL, Notario G, Kapral D.","Clin Ther. 2005 Dec;27(12):1950-60. doi: 10.1016/j.clinthera.2005.11.017.","Holas C","Clin Ther","2005","2006/03/02","","","10.1016/j.clinthera.2005.11.017"
"12765486","Diagnosis, treatment, and prevention of Lyme disease in children","Eppes SC.","Paediatr Drugs. 2003;5(6):363-72. doi: 10.2165/00128072-200305060-00002.","Eppes SC","Paediatr Drugs","2003","2003/05/27","","","10.2165/00128072-200305060-00002"
"36472062","Urinary Tract Infection in Pediatrics: Study of Uropathogens and Their Resistance in a Madrid Hospital","Rosado MR, Molina AG, Velasco AL, Chinchilla GC, Lana PV, Izquierdo EO, Vidal LS.","Arch Esp Urol. 2022 Nov;75(9):791-797. doi: 10.56434/j.arch.esp.urol.20227509.115.","Rosado MR","Arch Esp Urol","2022","2022/12/06","","","10.56434/j.arch.esp.urol.20227509.115"
"11144401","Comparison of the palatability of the oral suspension of cefdinir vs. amoxicillin/clavulanate potassium, cefprozil and azithromycin in pediatric patients","Powers JL, Gooch WM 3rd, Oddo LP.","Pediatr Infect Dis J. 2000 Dec;19(12 Suppl):S174-80. doi: 10.1097/00006454-200012001-00008.","Powers JL","Pediatr Infect Dis J","2000","2001/01/06","","","10.1097/00006454-200012001-00008"
"3847523","[Bacteriological and clinical evaluation of BRL 25000 (clavulanic acid-amoxicillin) granules in the pediatric field]","Haruta T, Kuroki S, Okura K, Kobayashi Y.","Jpn J Antibiot. 1985 Feb;38(2):359-72.","Haruta T","Jpn J Antibiot","1985","1985/02/01","","",""
"8878243","A multicenter, randomized, open label comparison of azithromycin and amoxicillin/clavulanate in acute otitis media among children attending day care or school","Khurana CM.","Pediatr Infect Dis J. 1996 Sep;15(9 Suppl):S24-9. doi: 10.1097/00006454-199609009-00005.","Khurana CM","Pediatr Infect Dis J","1996","1996/09/01","","","10.1097/00006454-199609009-00005"
"9076838","Empiric antibiotic selection criteria for respiratory infections in pediatric practice","Pichichero ME.","Pediatr Infect Dis J. 1997 Mar;16(3 Suppl):S60-4. doi: 10.1097/00006454-199703001-00007.","Pichichero ME","Pediatr Infect Dis J","1997","1997/03/01","","","10.1097/00006454-199703001-00007"
"15270741","Total family unit Helicobacter pylori eradication and pediatric re-infection rates","Farrell S, Milliken I, Doherty GM, Murphy JL, Wootton SA, McCallion WA.","Helicobacter. 2004 Aug;9(4):285-8. doi: 10.1111/j.1083-4389.2004.00240.x.","Farrell S","Helicobacter","2004","2004/07/24","","","10.1111/j.1083-4389.2004.00240.x"
"11917721","Triple therapy with clarithromycin, amoxicillin and omeprazole for Helicobacter pylori eradication in children and adolescents","Kawakami E, Ogata SK, Portorreal AC, Magni AM, Pardo ML, Patrício FR.","Arq Gastroenterol. 2001 Jul-Sep;38(3):203-6. doi: 10.1590/s0004-28032001000300011.","Kawakami E","Arq Gastroenterol","2001","2002/03/29","","","10.1590/s0004-28032001000300011"
"35241278","Amoxycillin/Clavulanic acid monotherapy in complicated paediatric appendicitis: Good enough?","van Coller R Dr, Arnold M Dr, le Roux H Dr, Tootla H Dr, Dix-Peek S Dr, Nuttal J Dr, Hidarah AB Dr, de Klerk O Dr, Solwa A Dr, English N Dr, Ismail T Dr, Bangani K Dr, Schroeder H Dr, Kaskar R Dr, Payne M Dr, Pretorius S Mr, Gibson B Ms, Cox S Prof.","J Pediatr Surg. 2022 Jun;57(6):1115-1118. doi: 10.1016/j.jpedsurg.2022.01.032. Epub 2022 Jan 31.","van Coller R Dr","J Pediatr Surg","2022","2022/03/04","","","10.1016/j.jpedsurg.2022.01.032"
"21281502","Update on the management of acute pharyngitis in children","Regoli M, Chiappini E, Bonsignori F, Galli L, de Martino M.","Ital J Pediatr. 2011 Jan 31;37:10. doi: 10.1186/1824-7288-37-10.","Regoli M","Ital J Pediatr","2011","2011/02/02","PMC3042010","","10.1186/1824-7288-37-10"
"29332208","Localised aggressive periodontitis in a 3-year-old-boy","Mass E, Hershkovitz F, Zilberman U.","Eur Arch Paediatr Dent. 2018 Feb;19(1):61-63. doi: 10.1007/s40368-017-0321-9. Epub 2018 Jan 13.","Mass E","Eur Arch Paediatr Dent","2018","2018/01/15","","","10.1007/s40368-017-0321-9"
"25842223","Oral amoxicillin compared with injectable procaine benzylpenicillin plus gentamicin for treatment of neonates and young infants with fast breathing when referral is not possible: a randomised, open-label, equivalence trial","African Neonatal Sepsis Trial (AFRINEST) group; Tshefu A, Lokangaka A, Ngaima S, Engmann C, Esamai F, Gisore P, Ayede AI, Falade AG, Adejuyigbe EA, Anyabolu CH, Wammanda RD, Ejembi CL, Ogala WN, Gram L, Cousens S.","Lancet. 2015 May 2;385(9979):1758-1766. doi: 10.1016/S0140-6736(14)62285-6. Epub 2015 Apr 1.","African Neonatal Sepsis Trial (AFRINEST) group","Lancet","2015","2015/04/06","","","10.1016/S0140-6736(14)62285-6"
"2218657","Comparison of cefuroxime axetil, cefaclor, and amoxicillin-clavulanate potassium suspensions in acute otitis media in infants and children","Pichichero M, Aronovitz GH, Gooch WM, McLinn SE, Maddern B, Johnson C, Darden PM.","South Med J. 1990 Oct;83(10):1174-7. doi: 10.1097/00007611-199010000-00013.","Pichichero M","South Med J","1990","1990/10/01","","","10.1097/00007611-199010000-00013"
"24939259","Comparative evaluation of cariogenic and erosive potential of commonly prescribed pediatric liquid medicaments: an in vitro study","Nankar M, Walimbe H, Ahmed Bijle MN, Kontham U, Kamath A, Muchandi S.","J Contemp Dent Pract. 2014 Jan 1;15(1):20-5. doi: 10.5005/jp-journals-10024-1481.","Nankar M","J Contemp Dent Pract","2014","2014/06/19","","","10.5005/jp-journals-10024-1481"
"19996970","Re-evaluation of antibiotic treatment of streptococcal pharyngitis","Baltimore RS.","Curr Opin Pediatr. 2010 Feb;22(1):77-82. doi: 10.1097/MOP.0b013e32833502e7.","Baltimore RS","Curr Opin Pediatr","2010","2009/12/10","","","10.1097/MOP.0b013e32833502e7"
"39210755","Bismuth-based quadruple therapy versus standard triple therapy for the eradication of Helicobacter pylori in Belgium: a multicentre, non-blinded randomized, prospective study","François S, Mana F, Ntounda R, Lamy V, Cadranel S, Bontems P, Miendje Deyi V, Macken E, Kindt S.","Acta Gastroenterol Belg. 2024 Apr-Jun;87(2):235-240. doi: 10.51821/87.2.12142.","François S","Acta Gastroenterol Belg","2024","2024/08/30","","","10.51821/87.2.12142"
"7970967","Variation in acceptance of common oral antibiotic suspensions","Dagan R, Shvartzman P, Liss Z.","Pediatr Infect Dis J. 1994 Aug;13(8):686-90. doi: 10.1097/00006454-199408000-00002.","Dagan R","Pediatr Infect Dis J","1994","1994/08/01","","","10.1097/00006454-199408000-00002"
