PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37490085","Identifying Children Likely to Benefit From Antibiotics for Acute Sinusitis: A Randomized Clinical Trial","Shaikh N, Hoberman A, Shope TR, Jeong JH, Kurs-Lasky M, Martin JM, Bhatnagar S, Muniz GB, Block SL, Andrasko M, Lee MC, Rajakumar K, Wald ER.","JAMA. 2023 Jul 25;330(4):349-358. doi: 10.1001/jama.2023.10854.","Shaikh N","JAMA","2023","2023/07/25","PMC10370259","","10.1001/jama.2023.10854"
"31315084","Extemporaneous Indomethacin Oral Suspension Prepared from Injectable Ampules for Therapy in Premature Infants and Pediatric Patients","Lafuente Y, García MC, Jiminez-Kairuz A.","Int J Pharm Compd. 2019 Jul-Aug;23(4):324-331.","Lafuente Y","Int J Pharm Compd","2019","2019/07/18","","",""
"38542016","Dermatologic Effects of Selumetinib in Pediatric Patients with Neurofibromatosis Type 1: Clinical Challenges and Therapeutic Management","Borgia P, Piccolo G, Santangelo A, Chelleri C, Viglizzo G, Occella C, Minetti C, Striano P, Diana MC.","J Clin Med. 2024 Mar 20;13(6):1792. doi: 10.3390/jcm13061792.","Borgia P","J Clin Med","2024","2024/03/28","PMC10971430","","10.3390/jcm13061792"
"31347758","The use of noncultured regenerative epithelial suspension for improving skin color and scars: A report of 8 cases and review of the literature","Ren J, Liu J, Yu N, Zhang W, Qian H, Liu Z, Zhu N.","J Cosmet Dermatol. 2019 Oct;18(5):1487-1494. doi: 10.1111/jocd.13071. Epub 2019 Jul 26.","Ren J","J Cosmet Dermatol","2019","2019/07/27","","","10.1111/jocd.13071"
"14770077","Safety and tolerability of azithromycin in pediatric infectious diseases: 2003 update","Ruuskanen O.","Pediatr Infect Dis J. 2004 Feb;23(2 Suppl):S135-9. doi: 10.1097/01.inf.0000112528.75956.41.","Ruuskanen O","Pediatr Infect Dis J","2004","2004/02/11","","","10.1097/01.inf.0000112528.75956.41"
"36678693","A Micro-Configured Multiparticulate Reconstitutable Suspension Powder of Fixed Dose Rifampicin and Pyrazinamide: Optimal Fabrication and In Vitro Quality Evaluation","Rampedi PN, Ogunrombi MO, Wesley-Smith J, Adeleke OA.","Pharmaceutics. 2022 Dec 25;15(1):64. doi: 10.3390/pharmaceutics15010064.","Rampedi PN","Pharmaceutics","2022","2023/01/21","PMC9861895","","10.3390/pharmaceutics15010064"
"31611144","Organoleptic excipients used in pediatric antibiotics","Nakama KA, Dos Santos RB, Serpa P, Maciel TR, Haas SE.","Arch Pediatr. 2019 Oct;26(7):431-436. doi: 10.1016/j.arcped.2019.09.008. Epub 2019 Oct 12.","Nakama KA","Arch Pediatr","2019","2019/10/16","","","10.1016/j.arcped.2019.09.008"
"34694252","A Health Literate Patient-focused Approach to the Redesign of the Raltegravir (ISENTRESS) Pediatric Kit and Instructions for Use","Mills A, Myers L, Raudenbush C, Vossen DA, Teppler H, Miteva YR, Seeley S, Homony B, Straus WL.","Pediatr Infect Dis J. 2022 Jan 1;41(1):51-56. doi: 10.1097/INF.0000000000003334.","Mills A","Pediatr Infect Dis J","2022","2021/10/25","PMC8658952","","10.1097/INF.0000000000003334"
"18587605","Extemporaneous suspension of propafenone: attending lack of pediatric formulations in Mexico","Juárez Olguín H, Flores Pérez C, Ramírez Mendiola B, Coria Jiménez R, Sandoval Ramírez E, Flores Pérez J.","Pediatr Cardiol. 2008 Nov;29(6):1077-81. doi: 10.1007/s00246-008-9257-5. Epub 2008 Jun 28.","Juárez Olguín H","Pediatr Cardiol","2008","2008/07/01","","","10.1007/s00246-008-9257-5"
"33611378","Stability of 10-mg/mL and 50-mg/mL ketamine oral solutions","Ancedy D, Sebti M, Postaire M, Vidal F, Cisternino S, Schlatter J.","Am J Health Syst Pharm. 2021 Apr 22;78(9):825-831. doi: 10.1093/ajhp/zxab066.","Ancedy D","Am J Health Syst Pharm","2021","2021/02/21","","","10.1093/ajhp/zxab066"
"33435555","Investigation of the Physical, Chemical and Microbiological Stability of Losartan Potassium 5 mg/mL Extemporaneous Oral Liquid Suspension","Foley L, Toney J, Barlow JW, O'Connor M, Fitzgerald-Hughes D, Ramtoola Z.","Molecules. 2021 Jan 8;26(2):301. doi: 10.3390/molecules26020301.","Foley L","Molecules","2021","2021/01/13","PMC7827961","","10.3390/molecules26020301"
"33917258","A Potential Role for Fructosamine-3-Kinase in Cataract Treatment","De Bruyne S, van Schie L, Himpe J, De Somer F, Everaert I, Derave W, Van den Broecke C, Huizing M, Bostan N, Speeckaert M, Callewaert N, Van Aken E, Delanghe JR.","Int J Mol Sci. 2021 Apr 7;22(8):3841. doi: 10.3390/ijms22083841.","De Bruyne S","Int J Mol Sci","2021","2021/04/30","PMC8068021","","10.3390/ijms22083841"
"9063785","Superiority of oral ketamine as an analgesic and sedative for wound care procedures in the pediatric patient with burns","Humphries Y, Melson M, Gore D.","J Burn Care Rehabil. 1997 Jan-Feb;18(1 Pt 1):34-6. doi: 10.1097/00004630-199701000-00006.","Humphries Y","J Burn Care Rehabil","1997","1997/01/01","","","10.1097/00004630-199701000-00006"
"29691267","Stability of extemporaneously prepared cinacalcet oral suspensions","Thomson K, Hutchinson DJ, Chablani L.","Am J Health Syst Pharm. 2018 May 1;75(9):e236-e240. doi: 10.2146/ajhp170072.","Thomson K","Am J Health Syst Pharm","2018","2018/04/26","","","10.2146/ajhp170072"
"27583702","Stability study of oral pediatric idebenone suspensions","Schlatter J, Bourguignon E, Majoul E, Kabiche S, Balde IB, Cisternino S, Fontan JE.","Pharm Dev Technol. 2017 Mar;22(2):296-299. doi: 10.1080/10837450.2016.1231811. Epub 2016 Sep 21.","Schlatter J","Pharm Dev Technol","2017","2016/09/02","","","10.1080/10837450.2016.1231811"
